,0,1,2,3,4,5,6,7
0,Code of,Name of food groups and,Version,Version,Version,Version,Version,Version
1,food group,subgroups,1.0,1.1,2.0,2.1,3.0,4.0
2,01,Cereals,28,28,90,103,708,709
3,02,Starchy roots and tubers,1 537,1 713,1 870,1 870,1 984,1 985
4,,Potatoes,1512,1 512,1 671,1 671,1 671,1 671
5,,Other,25,201,199,199,313,314
6,03,Legumes,22,28,28,19,29,2 151
7,04,Nuts and seeds,28,22,101,96,96,98
8,05,Vegetables,30,38,354,368,379,419
9,06,Fruits,314,306,1 635,1 689,1 701,1 704
10,07,Meat and poultry,0,0,746,703,1 240,1 265
11,,Mammals,0,0,217,217,733,756
12,,Poultry,0,0,0,0,21,23
13,,Reptiles/Amphibians,0,0,15,15,15,15
14,,Insects,0,0,514,471,471,471
15,,Other,0,0,0,0,0,0
16,08,Eggs,0,0,5,5,5,5
17,09,Fish and shellfish,0,0,1304,1 366,1 533,1542
18,,Finfish,0,0,1 069,1 134,1 291,1 299
19,,Crustaceans,0,0,129,128,130,130
20,,Molluscs,0,0,106,104,112,113
21,10,Milk,442,442,273,273,273,273
22,,Cow,0,8,2,2,2,2
23,,Sheep,0,9,8,8,8,8
24,,Goat,0,159,110,110,110,110
25,,Mare,0,59,37,37,37,37
26,,Camel,0,39,14,14,14,14
27,,Yak,0,56,21,21,21,21
28,,Buffalo,0,77,65,65,65,65
29,,Donkey,0,10,7,7,7,7
30,,Moose,0,8,1,1,1,1
31,,Reindeer,0,11,2,2,2,2
32,,Mithun,0,6,6,6,6,6
33,,Other,0,0,0,0,0,0
34,11,Herbs and spices,0,0,0,0,0,0
35,12,Miscellaneous,0,0,5,5,5,5
36,,,2.401,3.577,6411,6.497,7.953,10.156
