,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,NW,bw,6'0,0.2,,02,0,0.2,8'0,0,,,0.2,,,0,02,,0
1,CU,bw,2,,0,00,00,00,00,:,,0'0,,0,,,00,00,0'0
2,NZ,bw,90,90,04,,0,,,,,0,,2,,,,,02
3,MPRPE,6w,00,:,00,00,:,00,00,:,0,00,0,0,:,,00,00,00
4,FE,bw,,,,,,,,,,,,,,,,1.7,90
5,VN,bw,99,,,110,50,110,099,069,110,0'6,300,120,,2,2,1.10,1.10
6,,bw,,1.180,2490,2.020,010,1.170,2110,,,1210,3.000,1.060,,1210,2200,2.020,1110
7,M6,bw,,220,210,1.10,,120,140,120,,10,110,110,,110,140,1.10,1.00
8,,bw,500,560,380,410,06,210,300,350,210,110,440,210,220,210,250,410,230
9,,bw,6'96,140,460,140,220,400,3.10,,2110,220,220,120,,1.10,0'6,240,100
10,,,,2,2,,,,,,,3,,2,,0,8,,2
