,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,10,,350,,350,,,1,,250,,350,,,,,100,,350,,,,100
1,8n,,,,,,1,,,,,,,,,,,,,2,,8,
2,5,,,200,,,,,,,200,,200,,,,,,,,,,
3,gn,,,,,,,,200,,,,.,,,,,,,,,,
4,sn,dsqp,,,,,,,,,,,,,,,,,,,,,
5,,,,450,,,,,500,,450,,400,,,,,,,,,,
6,3,cup,,,,,,,,,,,.,,220,,,200,,,,,
7,,,,,,,,,,,,,.,,200,,,200,,,,,
8,,,,400,,,,,,,400,,350,,000,,,400,,,,,
9,Siie,,A,pis,A,S,,A,pid,A,,A,pid,,pid,,,pis,,S,,-,
10,Naae,,,,,,,,,,,,,,,,,,,,,,
11,Nane,,,,,,,,,,oboan ebun em duebn,o6oyt e6un em !uebn,,,,,,,,,,,
12,oodd,,222,322,323,224,224,224,325,325,,226,227,327,228,228,230,,,232,222,222,232
