,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,6r,00,,,,,,:,,00,:,00,:,,00
1,,6rl,,,220,210,:,,110,:,,:,:,:,,0
2,,6w,,:,,00,00,00,,:,00,00,00,00,00,00
3,NIN,6w,,0,:,,,2,,:,00,:,00,00,00,00
4,RRRF,,00,,8,00,,00,,:,00,00,00,,:,00
5,TIHA,6w,,,,,:,,,:,,:,,:,8,00
6,TrTC,6w,00,,,,00,10,,00,00,00,00,00,0'0,00
7,VTTE,6r,30,04,2,0.2,,00,,,00,140,08,08,08,
8,,6rl,2,2,:,00,00,00,00,00,00,:,00,00,00,00
9,ATTA,,8220,0489,0,0,,00,:,:,00,00,0,,0,0
10,VTTA,,,,00,0,0,0,:,,00000,0,0,:,0,0
11,,,,1007,1105,1774,1004,1103,1775,1007,1008,1106,1770,7777,1772,1773
