,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,,,2,,0,0.2,00,00,,,,,,,,2,
1,,,,,,,,,D0D00,D0D00,D0D00,D0D00,D0D00,,35,0000,0000,0000,0000
2,,,,00000,00000,00000,00000,00000,,,,,,,,,,,
3,,,,,,,,,00,00,,,,,,,,,17
4,,,6,,,,,,,,,,,,,,,,
5,,,6,,,,,1,,00,00,,,,,2121,2121,2121,2121
6,,,6w,,260,,,,,,,,,,,,,,
7,,,6,30,,,,5,80,08,08,08,,099,,,,,
8,,,,30,,30,06,28,06,06,08,08,,099,,,,,
9,,,,480,220,110,290,220,420,320,4710,410,220,230,,,,,
10,,,,440,530,820,420,069,420,420,4.10,450,110,120,,,,,
11,,,9,1100,170,1000,1000,086,066,880,0'66,066,1100,10000,,1.10,0.4,220,00
12,,fttn,,,,,,,,,,,,10000,0.2,550,2,2.00,170
13,keat,,,006,000,006,006,888,068,145,068,068,006,006,22,290,2,340,
14,rx,,,,,,,2000,,,,,,,105,1410,68,1115,220
15,,ture,%,,2,,,,T,15,,,,,,9,,,2
16,,,,,,,,,,,,00,00,,,,,,
