,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Asm,,,0,,6,80,320,,8'0,86,86,00,,8'0,
1,,,,,,,,,,,,,,,,0
2,,,,,,000:,000:,000:,000:,,,,,,,
3,,,,,,100:,100:,100:,100:,,,,,,,
4,,,,,,,,,,,44,5'0,380,,20,
5,,,,,,500,500,500,,545,545,545,,,7,.
6,Coot,,6w,:,,,2,,,10,4,,,,2,1
7,Lin,,,,,,,,,,,,0,,0,
8,,,,10,,,0,0.2,,000,000,000,10,,,
9,,,,30,,,,50,,2,04,,10,,20,
10,,,,20,,,0,,,20,04,,1.10,,20,
11,,,,,,90,,4,110,,80,,240,,,
12,,fetm,,2.20,110,110,,,440,,5,,230,,24,1.10
13,,fetm,,2.20,110,110,2,2,440,,,3,230,,24,1.10
14,keat,,,140,,,175,225,220,233,233,233,,335,,
15,,,,380,335,440,480,1605,,380,110,110,1895,1945,350,
16,,ture,%,20,20,13,13,,2,8,8,,4,,,
17,,,,22,22,,,,,,,,,,,
18,,,,,,,21,22,,,,,,,,
