,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,Ser,6w,4671,487,S35,,380,507,896,010,540,470,220,220,,,,
1,,Pro,6w,,378,477,370,220,,,170,069,450,260,230,,,88,
2,,,6w,898,577,,340,220,B27,,,2100220,170,,360,,,,
3,,Cy,6w,182,228,,170,140,177,,,2100220,170,13,,,22,22,16
4,,Ciu,bw,258,168,227,160,110,217,248,290,230,240,8,,,,,
5,,dsv,,357,295,284,340,260,301,,450,440,320,150,150,,,,
6,,,6w,,,,,,,,,,,,2111220,180,262,270,110
7,,,,,,,099,,,,,,,220,2111220,,106,280,
8,,,6w,898,,272,590,570,171,224,390,440,390,170,110,122,178,170,
9,,,6w,,,,440,390,149,,480,280,,140,140,,,,5
10,,,6w,7,107,188,100,,123,127,160,140,,,,1,,,
11,sooeoul0eeiuass-,,,,,375,270,270,271,351,430,220,380,120,120,,,,
12,sooeoul0eeiuass-,,6w6w6w,242,30,274,250,230,308,240,280,340,220,110,110,,,,
13,sooeoul0eeiuass-,,6w6w6w,444,388,467,380,380,196,486,680,360,480,230,220,,,,
14,sooeoul0eeiuass-,,6w6w6w,254,212,282,270,250,204,308,220,240,240,,,,,,40
15,sooeoul0eeiuass-,,6w,254,,827,570,,204,308,220,,,380,380,,,,
16,,,6w,,324,,3220,230,,390,470,080,220,180,180,2,,8,44
17,,,6w,147,,,170,170,112,280,390,220,140,120,120,122,122,122,15
18,,,6w,,,,2880,,,,,100019000,,,,,405,,
19,,,6w,,1228,,,,,,,100019000,,,,155,1186,109,
20,,Z,,152,118,115,124,60,112,192,,118,,,,,,054,
