,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,00,00,00,00,0,,,,,,0,00,0,0,00,00,00.2
1,,bw,05,,0,0,0,0,00,60,60,0.2,,0.2,0,,0,0.2,02
2,,bw,00,0,0,0,0,0,00,0,00,0,,0,0,0,0,0,00
3,,bw,0'0,00,,0,,00,00,0'0,00,0,,0,0,0,0,0,0
4,,bu,2,20,,,,,40,20,20,,,2,,,,,
5,VTTE,6,00,00,00,00,:,00,00,00,00,00,00,00,00,0,00,00,00
6,,6,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,10,
7,,,00,0,00,,0,0,00,09,09,0,,0,0,0,0,,0.2
8,,,,,220,2.20,580,440,580,120,120,,,,0'89,610,440,,16
9,,,858,,,698,698,898,098,,882,998,898,,,,,%,888
