,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,,bw,,,,,,,,,,,,,,3381,,3381,3381,
1,,,6,,,,94,94,354,354,354,,,6,6,,,,,,
2,,cin,6w,,,2,,16,,,,,,,0,,0,,0,05,
3,,,,,,,0,,,,0,,,,,,,,,,
4,,,Bw,012,,01,090,000,00.2,003,002,,0,,,,02.2,,022,110,
5,,,6w,004,900,800,002,111,800,110,800,005,00'5,000,00.4,00.2,000,,000,00'5,
6,,,,007,910,,,,014,,014,800,00.0,900,800,00.2,600,,600,00.2,
7,,oroer,6i,,,,,,,,,,,,280,2,,,,0,
8,,,.6n,,00,00,,,,,,5,5,,290,2,1000,,,ON,
9,,,6ni,,,,,,00,00,,,00,00,,,000,,000,000,
10,en,,6w,2,500,500,,,,,,125,125,125,125,,,,,,
11,?,,bw,100,100,220,170,2,,,,398,,988,388,009,2,,2,200,
12,P,,6w,,,110,45,,,,,,2,,,,,,,2,
13,Fe,,6w,2.2,7,2.2,113,90,60,11,60,20,,,12,17,2,,2,05,
14,,,Bw,,,,3,8,,,,2868,2868,2868,2868,,,,,,
