,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Ser,6w,,,,,2,7,16,988,080,8/0,616,086,115,2222
1,,6w,33822,33822,,,2,,,,,170,196,820,,
2,,,,,09,,,7,,899,4/0,,242,890,,
3,,6w,2,4,,,,1,,,390,417,321,,,
4,AI5 dsv,6w,,,,2,2,3,9,003,200,,,,,
5,AI5 dsv,6w,,,120,2,2,1,,098,270,164,,,,
6,,6w,88,88,223,,,2,,,1160,,,,,
7,Aia,,110,,,2,2,2,5,,,,,,,
8,,,,,,,,7,,,,,,,,
9,TPp,6u,,,,,,9,,,,,,,,
10,,6w,55,55,,8,8,5,5,,,,,,,
11,,6wr 6w 6w,,9,,0,0,3,2,,460,375,,120,,
12,,6wr 6w 6w,2,2,,,,7,2,,,114,588,898,,
13,,6wr 6w 6w,,,,,,6,2,178,,,,,,
14,,6w6w,22,22,175,,3,,,,,,196 268 809,,,
15,tle,bw,,,,,,5,15,,,,,,,
16,,6w bw,,2,5,,,,2,228,220,207,,290,,
17,,6w bw,205,2,069,175,175,09,127,,,,3203,,,
18,,,,,1115,420,420,190,328,,12220,10005,,,,
19,Z,,012,012,,800,800,900,900,,117,212,160,228,,
