,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,PPAT,6w,,,00,14,00,,02,12,,0,04,0
1,,6r,,:,:,:,00,00,0,00,:,,00,00
2,FOL,6rl,,1.10,:,1120,009,1110,1770,,110,,,096
3,Y1FF6,6w,,,0,,,:,0,,0,,2,
4,NIN,6w,2,90,10,,,0,,30,,,10,47
5,RFFF,6w,,00,00,0,0.0,0.0,00,2,0,,,
6,TIHA,6w,,0,:,,02,0,,,90,80,04,00
7,VrTC,2,,120,:,00,00,00,250,:,:,,,00
8,VTTE,6,00,50,:,06,,00,00,:,2,,30,2
9,YTTp,6l,:,,:,:,00,00,00,:,00,,,00
10,ATYTA,3P 6 r,0,0,0,0,,:,0,,0,0,:,00
11,VTTA,3P 6 r,30,00,10200,00,00,2,,10,,2,30,10
12,,,177,180,,,,,166,,2,,,
