,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Y1FF6,6w,,0,0,0,0,,,00,,0,,,,0,0,0,04
1,NIA,6w,0,,00,04,,,,10,60,,,,60,0,90,04,
2,,6w,16,0,00,0,00,:,,0.0,2,00,0,00,,,00,0,0
3,TIHA,6w,,0.0,1.00,00,00,0,00,00,00,00,0,00,00,00,00,00,0
4,,6w,445,20,00,250,110,,20,69,,110,444,1000,,,22,250,2110
5,,6l,00,00,00,2,00,,,00,00,00,00,10,00,0'0,,2,2.0
6,,6,00,00,00,:,00,00,,00,00,00,00,,,,0,0,00
7,,,00,0,0,,,:,:,,0,0,0,0,0,0,0,0,0
8,VTTA,,1140,300,,3000,08,50,,8110,3110,09,10,360,3.110,50,10,3030,280
9,,,,2,,,,,,,,,,2,,,,,
