,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,10,,,200,200,15,5,,,,,300,,300,,300,,,300,,300,
1,,saaeer,,,,,,,,,,,,,,,,,,,,
2,,tpp,,,,,,5,,,,,,,,,,,,,,
3,cn,,,,,,,10,,,,,,,,,,,,,,
4,tn,patae,,,,,,,,,,,,,,,,,,,,
5,u2,cUp,150,,,,,,,,200,,200,,220,,,200,,200,,200
6,u2,,,,,,,,,,220,,200,,200,,,200,,200,,200
7,u1,bout,220,,,,,,,,400,,440,,440,,,400,,400,,440
8,Site,,pid,,,,,,,,,A,,,,e,,pid,A,pis,,pid
9,Naae,,,,,,,,,,66 pue,6b pue,,,,,Miine,,,,,
10,Nnae,,,,,,,,,,,,,,,,,,,,,
11,oood,Cooe,475,475,,,182,188,488,497,202,202,505,305,509,909,,507,207,808,808,609
