,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,,2,2,,,,,,,,,,,,0,,0,0,,,,,,,,,,0,
1,,6l,,,,,6:,,,,,20,20,,0,,23,23,3,2,,,,2,,,,,,120
2,TOL,6,,5,5,,,,,,,,8.08,214,114,149,116,,2,50,,2260,06,40,,,,102,118,220
3,,6w,,2,2,,,3,,,,,,2,2,,,2,0,,3,,,2,,2,,,2,
4,NIA,6w,,,,3,,,,,,,L0,,,,,,3,,,,,,,,2228,2228,2228,8
5,RBRP,6w,0,,,2,,,,,,,,3,0,000,000,000,,0,,,,,,,,,,
6,TTIH,6w,0,,,,,00,,0,000,000,000,,,,,,,,,,,,,,,0,,
7,YrECVTC,6w,22,,,,,0,9.,3,0,0,0,0,,826,826,826,,,,,0,0,691,,,,,0
8,YrECVTC,6,0,0,,,,,0,,,,,3,,,,3,,,,,,,,,,,,
9,,6rl,0,0,0,0,0,0,0,0,0,0,,0,0,2,4,3,5,,0,,0,0,,,,2,0,
10,,PP 6 r,0,0,0,0,00,390,,00,8'6,210,,1170,00,,,,,02,,,00,00,1112,,0'0,,,0
11,VTTA,,22,,,,,,507,946,,210,1400,1110,,,,,,,111115,,,00,,1113,,114,344,00
12,,,,,,,,,,,,,,,,969,,,,,,,370,272,292,,390,,667,
