,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,10,,,,,,,,,,,,,110,,110,,13,,,,,,,,,
1,,,15,,,,,,,,100,,,,,88,,,13,09,100,220,,09,100,150,
2,,,,175,,175,,,,,,,200,,200,,100,,,,,,,,,,
3,u7,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,lsp,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,tptp,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,400,,,,,,,,,,,,
7,tn,,,,,,,,,,,,,,,,,,,,,,,,,,
8,u2,eup,,,,,,,,,,,,,,,,,,,,,,,,,
9,u2,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,boot,,225,,225,,,,,,,400,,,,,,,,,,,,,,
11,Siie,,S,,A,pis,,S,,,,A,pis,,,,S,,YS,,,,,S,,,I
12,Naae,,,Orra,,,,,,,,,,,,,,,,,,,,Cpeeprppppr,Cpeeprppppr,Cpeeprppppr,Cpeeprppppr
13,Naae,,,,,,,,,nn6un|,,,,,e6oq,eboq,,n6unyy eAueXu,eXueXu,eXueXu,eXueXu,eXueXu,,,,,
14,oood,epde,176,176,116,116,146,477,417,,477,,,,,,427,427,422,422,422,422,422,,,,
