,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,SIH,6w,,,0011,,4210,,,,2890,,,,2220,,,,,,11690,,,,0.099
1,ARC,6w,11110,1.6100,,11110,,,11110,,,,,1000,,11210,11210,,,2.1000,,11110,11210,11220,1.1100
2,TAL,6w,12100,0.110,1.1060,11210,,,8.110,,1110,41110,,,,11100,11100,30000,1110,,,11210,12210,10600,
3,TYR,6w,,0'999,,,,,0809,,,29910,,,,1210,1110,,,,,,8880,,0'999
4,PHE,6w,10000,0899,11120,,,11210,1220,,0899,31110,,2.000,,,,2.1000,,,,,,1.000,
5,CxS,6w,,1180,,2000,1810,2220,2.200,,2210,8860,,,1110,2120,2120,,1160,4110,1110,2.000,2200,,1190
6,MET,2,,,,,3770,,,,,,1.1110,,,,,11150,,11110,,,,3.110,
7,,2,10110,11010,,,11200,,,,0+06,,,,0.0040,,11110,,,,,20200,20200,,14140
8,LEU,6w,,12110,,,11110,,,,11110,0'96t9,,,0888,,11110,,1.2200,,,11710,11710,11160,1110
9,,,,,11110,11110,,,4440,,0'989,,,,,,,,,,30100,11110,11110,0.110,1110
10,THR,2,0'698,,11110,10000,,10000,1170,10100,0009,,,,,,,22960,,1.0660,21190,1.1000,10000,0068,
11,TRP,6w,2810,,3110,2200,,,2110,3.000,,0'968,0799,2.000,,2180,2180,,1.110,,,2.000,2000,,1210
12,,,205,,,,202,206,208,,,808,,,,371,272,,274,,320,378,278,277,278
