,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2,,,120,,120,,270,,120,,120,,120,,,06,,100,
1,8n,,,,,,20,,.,,,,,,,,,,,
2,,,220,,200,,,,100,,200,,,,220,,,220,,
3,,lpp,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,2
5,tn,paae,,,,,,,,,,,,,,,,,,
6,,aup,,,,,,,,,,,,,,,,,,200
7,u2,,,,,,,,,,,,,,,,,,,
8,5,bont,440,,400,,,,300,,300,,300,,300,,,150,,440
9,Sie,,pid,A,9,,,,pis,,pid,A,,A,,A,,pis,,pis
10,Naae,,,,,,,,,,,,,,,,,,,
11,Naae,,,,,,,,,,,,,,,,,nzen,nzer,
12,podd,eooe,170,170,,,2,2,,,,,,179,,,187,782,,857
