,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Y0FF6,6w,,0,0,,00,00,,00,00,00,,,,2,,00,00,00
1,NIA,6w,,,,,04,00,,,2,00,,,00,0,,0,0'0,0.2
2,RBRF,6w,00,00,00,,,00,60,00,00,00,00,,00,0.0,00,00,00,00
3,,6w,0'0,0,0,0,00,00,,00,00,00,0,0,00,,0,00,00,00
4,YTTC,6w,,0,00,,00,00,110,,10,00,00,20,00,212,08,,00,1.10
5,TTTEYTEFTTTTE,6rl,00,00,00,09,0.2,00,,00,00,09,:,00,00,00,00,00,00,3.0
6,TTTEYTEFTTTTE,6,00,0,0,,0,00,0,00,00,00,0,2,00,00,0,0,0,00
7,TTTEYTEFTTTTE,,00,0,0,0,00,00,0,00,00,00,0,,0'0,0,0,00,00,0'0
8,,,0,0,00,260,:,0,41110,212,0,0,0,,0,,0,0,0,110
9,,,,,,,,,,,,,,Ceeeer,,,,,,
10,,,,,,,,,,,,,,,,,06t,,,
