,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,PANT,bw,,0,0,,,,,0,0,0,0,,,,,,
1,VF1FF7,6l,0,0,0,,0,0,,0,0,0,0,0,,,0,0,0
2,TOL,6rl,310,310,310,100,120,120,180,0,,250,250,1000,250,210,220,1.00,
3,Y1FF6,6w,0,0,0,0,0,0,2,0,,,,0,,,,2,2
4,NIA,bw,,2,,,,,2,0,,,,,,,,,
5,RBFF,6w,0,2,0,0,0,0,,0,0,,2,,0,2,,0,2
6,THHA,6w,0,,0,0,0,0,2,0,0,,,,0,,,,
7,vTTC,,0,00,00,0,0,0,,0,0,0,0,140,,0,0,0,
8,VTTE,6rl,,0,0,,,,0,0,0,,,0,0,,0,0,
9,YTTp,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ATTTA,,0,0,0,340,0,0,,0,0,0,,0,,0,0,0,00
11,VTTA,,0,0,,340,210,210,30,0,0,0,0,0,R,110,2.00,50,
12,,,,,,Caee,Coohhe,,,,,,,,,,,,
