,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,PANT,6w,,,0,,,,0,,,,,0,,,,2,0,0
1,VFTFF7,6rl,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,00
2,,6,,,,,,,,,,116,,,100,123,100,,,
3,Y1FF6,6w,0,0,,0,,,0,0,,,,0,,,,,0,0
4,,6w,,0,,,,,,5,,,,,60,o,,0,2,0
5,,6w,0,0,0,0,0,,,0,,0,,0,,0,0,0,0,0
6,TIHA,6w,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
7,TTTC,6w,0,0,2,,0,,,,,,:,00,:,,,,00,00
8,VTTE,6,0,2,0,0,,,,0,,,,0,,0,0,,,
9,YTTD,6l,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
10,ATTTA,3P 6 r,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
11,TTT,,0,0,112,,,0,0,0,0,,2,,0,0,0,0,0,0
12,,,,,,,,,,,,040,2,,,,,,,
