,0,1,2,3,4,5,6,7
0,,,22i22,25229,25229,25229,22222,522
1,,,8816188886,,,,1666,18
2,,ctn,2212225256,,,,22222,I222
3,,,8816178886,,,,8,
4,,,6816178186,,,,966,
5,,,221222525622222,,,,221222525622222,222
6,,,221212525622222,,,,221212525622222,i222
7,,ororr,2.8..,2.8..,2.8..,,1122222,1122222
8,,,222222238222222022,,,,222222238222222022,222222238222222022
9,,,6816171856,,,,5255,I5
10,?,,6816175856,,,,51755,IN5
11,P,,221222522222222,,,,221222522222222,2222
12,,,22i2225J22222222,,,,22i2225J22222222,82221
13,,,22i22,,,,2522222222,2222
14,,,2,2,2,5,88,88
