,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,SIH,bw,490,210,184,099,40,,,,,1110,40,,06,1200
1,ARC,6w,1000,098,840,2110,08,1120,110,1145,,,08,0049,280,2210
2,TAL,6w,0'08,,,110,100,086,0'86,,115,3000,110,,220,1180
3,TYR,bw,,220,201,,,,340,8'09,,1.190,50,,140,1120
4,PHE,bw,620,400,,1220,06,1000,1000,,1110,2110,06,0000,170,1440
5,CXS,6w,1.10,,08,250,20,220,220,227,,,20,1120,09,440
6,MET,6w,450,110,147,400,,200,280,,,1110,30,210,20,
7,LXS,bw,1210,,,,06,1200,1000,1.160,1215,,06,1110,240,3110
8,LEU,bw,1120,,,1410,110,1160,1160,,2220,,110,,220,0000
9,37E,bw,1.20,280,224,1000,,040,,812,1125,2220,,,1.10,1120
10,THR,bw,089,400,,440,0'08,1.100,008,110,1000,,,2460,110,110
11,TPP,bw,180,,2,,2.20,300,230,204,2.50,,,0'99,,50
12,,,,,,,,,,,83,,,778,,
