,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,2,Arrrrre,200,,,110,,,110,,09,,,,50,,,,100,,125,,2
1,,,,,100,,,,,09,,,,170,,,100,150,,,,,
2,,,,150,,,200,200,,,,,,,,,,,,125,,2,
3,,tpp,,,,,,,,,,,,,,,,,,,,,
4,5,,,:,,,,,,,,,,,,,,,,,,,
5,,,,300,,,440,440,,,,,,,,,,,,,,,
6,3,Cup,,,,,,,,,,,,,,,,,,,,,
7,,boot,,,,,,,,,,,,,,,,,,250,,,
8,Sie,,,S,VL,,pid,,,pid,,S,,,,S,,,,pis,,,
9,Naae,,,,,,,,,,,,,,,,,,,tuejd 66,fued 66,,
10,Naae,,,,,,,,,,,,,,,,,,,,,e6on,e6on
11,pood,Cooe,378,338,333,333,,,,405,,444,404,404,444,407,407,407,407,,,475,
