,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,NW,6w,0,,,,,,,00,,,,,0,,2,,
1,3,bw,,,2,0,,0,0,0,0,2,2,0,0,,,,
2,,6w,,,0,0,,0,,0,,,,,,,,2,
3,MPPPE,6w,0,0,0,0,0,0,0,0,0,,:,0,0,0,0,0,0
4,E,bw,2,,,0,0,0,,2,2,,,,,,,,
5,,6w,12000,0609,0'609,1220,,,1000,2,120,250,,,:,,110,110,
6,,bw,1220,1110,1.110,210,,,,1.000,0'90,2210,2110,0'899,1220,2110,3000,4000,
7,MC,,210,220,210,,,1.20,,220,420,1220,1220,110,110,1120,1210,210,1176
8,P,bw,1.000,1000,1.000,089,0'08,0'08,,1100,0'08,2110,2110,,,2110,2.10,,
9,,bw,1.110,1220,100,880,210,210,3110,110,2,09,09,,,09,420,2150,210
10,,,,,,Chae,,,,,,,,,,,,,
11,,,,,,,,,,3,,,2,3,4,5,6,,
