,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,06,,,,,,,,,,,,,,,
1,TVL,6w,,,06,220,2450,00,5000,,310,00,3000,1100,00,2110,,0,00,240
2,TRR,6w,110,110,150,230,1160,00,2220,88,110,00,2200,5600,00,810,510,,00,110
3,PHE,6w,09,,09,240,2000,00,3770,1113,220,00,3000,,00,1.880,,110,00,140
4,CXS,6w,,,30,110,220,00,2'220,89,110,00,2.200,1110,00,,,,:,
5,MET,6w,,,10,1.10,440,00,,47,,0,00,4200,00,110,110,10,00,50
6,LXS,2,,,,0'69,2120,00,,182,260,00,0.000,,00,2120,0'86,08,00,220
7,LEU,6w,09,09,,069,2250,00,,180,,00,0000,,00,8000,110,,00,320
8,,6w,,,,460,1410,00,,122,220,00,2200,,00,2770,220,,00,210
9,THR,6w,,,,4.00,1890,00,4440,124,200,00,1000,0669,00,1.210,500,,00,110
10,TPP,6w,,,20,110,,00,,2,,0,00,,00,0'99,300,,0,
11,,,,,,,,,,,,,,Ceeeer,,,,,,
12,,,,,3,,,,,,,,2,,,,,,,
