,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,SIH,bw,1890,1110,1110,1.000,1120,1120,,,2220,,,,2.000,500,,2260,2220
1,ARC,6w,,3220,3220,2.110,2110,2210,,4770,,140,4.000,4.000,3.000,140,4.000,,
2,TAL,6w,,,,2220,2890,280,0000,4110,0'899,1180,4110,4770,,,4170,6110,
3,TYR,6w,2110,2250,2250,1.110,1170,1110,,3170,2.000,1100,3300,3300,2110,0'69,2300,2120,
4,PHE,6w,,,,2180,2260,2260,1.000,3220,,1220,,,,,8890,,0'669
5,CxS,6w,1190,1110,,820,1000,1000,,2110,3.110,,1.140,1140,820,110,1440,2.000,2110
6,MET,6w,1160,,,1000,1100,1100,3440,1880,2100,,1110,1.110,1210,380,1.100,2110,2.000
7,LXS,6w,2360,2.000,2.000,2110,2160,2160,8170,2220,2150,110,2220,2220,3110,210,2220,,3110
8,LEU,6w,,,6110,,3000,,,1100,,,0'966,0'966,8.110,1210,0'966,,
9,J7E,6w,,,,2.000,2200,2200,1210,,3.110,0'96,2110,2110,3000,180,2110,,
10,THR,bw,2160,,,1110,1170,1170,,2110,,1110,3.000,3.000,3000,,3.000,4440,
11,TPP,bw,1220,1000,1.000,580,210,1.00,,1220,1111,110,,,320,110,370,2.000,1110
12,,,,,,Chhe,Cohhe,Dnuot,,,,,,,,,,,
