,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Ash,,,24,,,0,,,34,,,5,,22,22,80,2,60
1,,,,,,,,,000,000,000,0,,,,,,,
2,,,,,4,,,,40,,,8,6,2.,,90,14,40,12
3,,,,,,,,,,,2.90,,,,,,,,
4,,,,,,,12,,,,0,,,,,,,,
5,,,,5,,,,2,,,,,,4,,,8,,4
6,,,6w,,,,,,,,,,,,,,,,
7,Lln,,,,20,,10,1.20,,,240,,,,,,,,
8,,,,,20,,10,110,,,310,,,,,,,,
9,,,,,240,,30,220,,,110,,,,,,,,
10,,,,,50,,240,08,,,50,,,,,,,,
11,,,,,440,170,390,410,500,410,410,223,223,223,,8'0,01,,
12,,fetn,,110,170,2.0,,230,230,2.20,2.20,46,40,,28,120,60,20,20
13,keat,,,345,369,110,290,570,,575,,,,,6,100,1382,1382,1382
14,,,,1446,,008,1410,,2940,,,,,,280,245,145,,105
15,,ture,%,0,8,,,7,,,4,,,,,,,,
16,,,,,,,,,33,33,4,,,,,,224,224,224
