,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,,0,,2,,,,0,,0,0,0,0,0,0
1,nU,,00,00,04,,0.0,00,00,00,00,00,00,00,00,00
2,,6w,00,01,2,,,00,0,00,00,00,:,00,00,00
3,,6w,,00,00,:,:,:,:,:,00,00,:,00,00,00
4,,bw,,0'0,2,,0,0,,00,00,00,:,00,0'0,
5,,bw,2120,,40,220,09,00,1.000,00,00,00,00,00,00,00
6,,bw,06,240,2120,,1.000,00,2.200,00,00,,:,00,00,00
7,MC,bw,10,20,280,220,1.00,00,210,00,00,00,00,00,00,00
8,,bw,08,240,1120,1110,340,00,220,00,,00,00,00,0'0,00
9,CA,,08,170,110,140,40,00,240,00,09,00,:,00,00,00
10,,,1002,1077,1105,1774,1004,,1775,1007,1008,100,1770,1777,1772,1773
