,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,6w,,,,18,270,,,4,,,4,328,,,,,
1,,,.6H,,,,2,,,,2,,2,,,,,,,
2,,,bw,80,90,60,20,,90,0.2,0.2,02,18,16,13,04,0.2,04,,04
3,,,,,0,,,,,,,,,0,,,,,,
4,,,bw,,90'0,,025,,,005,000,004,011,000,014,012,110,00.2,60'0,012
5,,,6w,035,000,,015,900,000,0003,00,00.2,015,005,004,005,00.2,002,00.2,900
6,,,,,900,00.2,005,,002,002,005,0000,900,015,900,0003,0002,002,900,600
7,,orrrr,6n,340,,425,235,,,,,4,14,009,145,,,,,2
8,,,6H,1550,380,1775,o0t,,8,230,250,,,006,220,2400,,200,28,00
9,,,,,,,DODOD,DODOD,DODOD,DODOD,DODOD,,DDDDD,DDDDD,DDDDD,DDDDD,DDOO,DDOO,DDOO,DDOO
10,en,,Bw,,,100,21225,21225,21225,21225,21225,,51443,51443,51443,51443,3423,3423,3423,3423
11,?,,6w,,300,550,280,,440,,,150,650,176,290,,215,220,200,245
12,a,,6w,,,110,46,,,,,,,,,,8143,8143,8143,8143
13,,,6w,20,,16,14,,,0,90,07,,60,,2,,,0,10
14,,,,,,160,,285,9,,,,,,23522,23522,,,,2
