,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,SIH,6w,028,,,400,140,200,120,170,140,260,220,1.00,110,100,,,440
1,ARC,6w,1.190,2110,2.10,,,,,450,400,010,,440,,440,1.190,1190,1610
2,TAL,6w,1190,1110,810,088,210,420,460,460,300,,410,220,440,220,1.190,1190,0'88
3,TYR,bw,1110,,440,1110,110,170,210,210,120,240,200,110,220,110,1110,1160,1110
4,PHE,6w,,0'66,0'69,009,200,2.20,340,240,220,440,3.00,1.10,250,110,,1060,009
5,CrS,6w,220,110,110,340,,,0,,09,120,110,,40,40,220,220,340
6,MET,6w,310,410,220,210,09,100,,2,,140,120,09,06,0'9,510,510,210
7,LXS,6w,1170,1110,010,1000,300,,440,440,320,,40,210,360,240,1170,1170,1000
8,LEU,6w,3.100,1010,1160,069,330,320,440,460,,,500,240,320,240,8000,3.600,820
9,,6w,1.110,,0'69,,220,310,440,440,3.50,110,310,210,390,210,1.150,1.150,820
10,THR,bw,1.000,1000,020,009,220,2.50,400,400,240,0'6t,,110,300,110,1000,1000,0'09
11,TPP,6w,240,110,200,210,09,100,,120,,110,,,,,240,240,210
12,,,407,124,,,,,,,60t,,,,,,,,
