,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,SIH,bw,30,440,1100,089,00,810,040,40,810,30,,2,007,810,180,110,50,120,120
1,APC,6w,50,0'88,440,1180,00,420,1110,06,410,09,09,210,800,410,099,099,08,110,110
2,TAL,bw,08,1000,,2000,420,470,1.00,1.40,470,08,06,200,00.0,420,400,4.00,110,230,210
3,,6w,40,490,06,1120,110,240,490,09,240,40,40,100,00.1,240,110,110,40,100,100
4,PHE,bw,40,2220,490,,290,2.80,340,2,280,,,,00.4,380,310,310,,170,170
5,CXS,6w,30,210,0'6,580,06,170,,00,,,,0,000,110,1.00,100,,00,40
6,MET,bw,20,300,08,380,100,40,0'98,30,310,2,2,,00.0,110,200,2.00,2,,50
7,LXS,bw,110,1220,500,2220,3.20,3.20,580,120,320,1.10,120,230,002,440,470,470,110,410,470
8,LEU,,110,1440,089,2220,,1220,340,170,1220,110,120,550,000,110,220,220,140,310,370
9,37E,bw,,840,280,1440,640,320,110,110,320,,,300,000,320,210,210,,180,110
10,THR,bw,09,120,280,1440,220,240,200,1.00,340,,,3.10,00.0,340,110,,08,1.10,110
11,TPP,6w,20,250,06,480,00,,1.20,,,,,,001,1.20,06,,,,08
12,,,,,,,,,,,,Crppe,,,,,,,,,
13,,,128,,,,,,,,,104,,,,0,,,,,
