,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,APC,6w,1110,2.10,,120,00,1110,099,110,250,2220,1.060,1.110,1770,1.000,,210,210
1,TAL,6w,0'88,210,088,,,1.000,210,210,1.10,1150,,088,1.100,820,420,220,220
2,TFR,6w,1.100,440,1.110,440,260,480,310,440,1.10,1250,1110,1110,00,5.50,170,1.10,1.10
3,3HE,6w,009,2.00,009,1.10,440,0'88,,1.10,110,1.000,1240,009,1.100,,220,220,220
4,CXS,6w,410,140,340,110,140,09,1.10,1.40,40,550,350,,00,220,08,110,110
5,MET,6w,098,2.90,210,210,140,440,220,250,09,360,550,098,110,220,110,20,
6,LXS,6w,2'220,240,1000,240,1.10,2220,110,240,110,1.160,1210,2220,066,,410,310,310
7,LEU,6w,0'69,1.000,069,1000,2.00,1220,0'66,1000,250,1210,2110,069,1000,1.710,320,310,310
8,37E,,820,,820,,110,068,,,110,1120,1250,820,1110,340,3.10,220,2.00
9,THR,6w,009,,009,,,1100,100,,140,1770,1210,009,,0'69,2.50,210,210
10,TPP,6w,3.50,2'00,250,2.20,08,310,170,2.00,2,340,440,250,110,230,1.00,0'9,09
11,,,126,174,176,176,4777,178,,472,,,420,128,,,427,2,422
