,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,6w,6,,,,,,,,,000,000,,000,D002,D002,D002,D002
1,,,,,,,,,,,,,13,,,,33,100,270,
2,,cin,bw,,17,,4,,3,18,2.0,10,2,,2.,22,30,,,30
3,,cin,bw,,17,,2,,2,18,2.0,10,2,2i,2.,22,30,2,2,30
4,,,,,,,,,,,,,,0,,,,,,
5,,,,,,,020,00.7,,,020,,090,042,,,012,020,002,
6,,,,002,800,,,012,014,110,015,110,110,020,,,012,114,,110
7,,,,,110,015,,800,01.4,,060,074,,052,,,88'0,012,,012
8,,,6n,,,,,8,,,,460,,,,,,,,
9,,,,,,,0000,0000,0000,0000,,230,0,,,,,,,
10,,jou,,,0,00000,00000,00000,00000,00000,00000,00000,00000,00000,,00000,,,,
11,2,,6w,,,227,227,227,,1,0,2,,,,,,,5,
12,,,6w,,,250,1220,300,,1025,220,220,,1500,,,066,1000,1170,
13,P,,bw,,170,96,328,,330,270,440,,300,440,,380,280,285,240,320
14,,,6w,80,,T,8,4,06,110,50,14,,,,68,100,50,61,
15,,,,,,,,,,,,,,,,,,,,
16,g,,6w,22,22,2,120,,,250,,,,100,,170,06,160,,180
