,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,10,Aerrrre,575,,375,,440,,350,,450,,450,,330,,225,,440,,370,,100,,200,
1,gn,,,,,,,50,,,,,,,,,,,,180,,.,,,,
2,,,,270,,200,,,,225,,225,,150,,150,,200,,,,,,175,,200
3,gn,asp,,,,,,,,,,,,,,,,,,,,,,,,
4,sn,,,,,,,,,,,,,,,,,,,,,,,,,
5,tn,paiae,,420,,440,,,,450,,450,,330,,300,,440,,,,100,,350,,440
6,,cUp,,,,,,,,,,,,,,,,,,,,,,,,
7,u2,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,420,,440,,,,450,,450,,,,,,,,,,,,,,
9,Siie,,,ptd,,,,,,pid,A,,A,,A,,A,,A,,A,ptd,A,pid,,
10,Naae,,,,,,,,,,,,,,,,,,,,,,,,,
11,Naae,,,,,,,e6ueyny em o6oua,e6ueany em o6oya,,,,,,,,,,,,,,,obouw,,
12,poo,Cooe,,999,,999,,,,868,898,699,,096,,,,96,,796,,,996,996,C96,996
