,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,SIH,6w,,,2,2,,20,08,,02,420,110,200,20,,320,340,380
1,ARC,6w,2,,,,0,,120,,15,006,300,,2,30,0'08,0.000,
2,TAL,6w,0,0,00,00,0,00,140,0'068,00,1100,330,410,00,00,,,009
3,TYR,6w,,0,2,,0,,100,5880,00,210,110,240,00,0,110,,380
4,PHE,bw,,,,,0,,110,1000,00,,2.10,220,00,0'0,1.000,,069
5,CXS,6w,0,0,,,,,,2220,00,250,08,100,00,,140,220,110
6,MET,6w,312,,1.16,1.16,02,102,09,2.200,2.16,270,1.00,1.40,1.15,,420,220,220
7,LXS,bw,,,0,0,,0,09,,,1.110,0.00,000,00,0.0,,,089
8,LEU,6w,00,00,00,00,00,00,260,8110,00,,420,,00,00,,1110,040
9,37E,6w,00,00,00,00,17,00,1.00,,00,008,,330,00,00,0'98,,500
10,THR,6w,,:,,,0'0,,06,,20,210,110,220,,:,098,069,220
11,TPPP,bw,1110,1000,3110,8110,1110,2880,10,2.410,,300,,08,140,1.000,210,220,120
12,,,,,282,668,858,,,,,,,,260,,,,888
