,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,NW,,2,0,,,0,2,0,,,0,,,,,690,04,024
1,3,2,0,0,0,,,0,0,0,,0,0,0,,,,,
2,,,0,0,0,0,,0,0,0,,0,,0,,,,,
3,MPPPE,6w,0,00,00,0,0,0,0,0,0,,0,0,0,0,0,00,00
4,,,,,,,,,,,0,2,,0,,,,0,8'0
5,,2,5'0,2,5'0,50,140,40,0'6,2110,5.0,1.00,,,,100,1.00,110,
6,,,,,,,2110,,30,,8110,410,1110,1110,2110,,,,3000
7,M6,2,320,250,240,240,210,2.20,30,240,250,220,110,240,140,2.00,200,330,210
8,P,,220,3.00,,,210,1410,120,,500,280,310,280,400,,,040,390
9,,bw,,170,440,460,110,420,20,1.10,50,300,220,210,220,200,280,420,08
10,,,,,,358,258,364,,254,338,,357,,390,,398,,868
