,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,NW,,,0,,,,0,2,,0,0,,,,,,0,,02
1,CU,bw,0,0,,2,2,2,0,2,0,0,0,0,2,,2,0,,
2,NZ,bw,0,2,,,,,2,,0,0,0,,,80,,0,0,0.2
3,MPPPE,,00,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0'0
4,,bw,2,,,2,2,,,,,04,,2,,,,8'0,90,05
5,,,,09,,,06,1.07,232,114,110,96,,,066,1107,,,,
6,,bw,,1118,,,2224,,2112,,1117,117,096,2144,2.210,2184,,117,,1176
7,M6,bu,2,,,440,,,,,,,,2.01,212,,280,,114,
8,,bw,115,212,1.006,617,,,,,,144,1.15,,040,,,114,207,
9,,bu,142,,1164,,,1380,,,172,210,350,,220,2.21,180,,,117
10,,,,,,,,,,,,,,,,,,,83,15
