,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,U,bw,9,,8,,30,30,,,0,,,,5,,,
1,,,.6ri,,,3,,,0,,,,,0,,250,,,
2,,ctn,6w,,,01,,00,,,40,02,99,21,,110,,31,
3,,,,,,,,,0,,14,17,,110,110,,,5'5,
4,,,,800,,110,,,0,,,,,,,,00'0,088,
5,,,,60'0,003,005,,000,,110,015,000,082,028,110,2300,,014,
6,,,Bw,,004,000,,002,,440,,110,,,028,05.0,012,090,
7,,,6,,,125,,,0,,,,,,,,,,
8,,,,45,2,190,,,,,5,330,,10,,180,,,
9,,,,,00,00,000,000,000,,2,110,,40,300,870,,,
10,en,,bw,3,13,13,2,,0,274,100,150,,,280,100,,,
11,?,,Bw,370,,,,,0,8,250,150,,,,300,220,,
12,a,,bw,110,,,,6,,120,195,220,110,170,190,360,110,175,
13,,,6w,2.2,0,02,,14,0,1,28,2,2,,16,110,20,18,
14,8,,6w,175,,8,,8,8,,,,,9,,8,,,
15,,,,,,,,,Je6nS 80,,,,,,,,,,6. 000'000't=6w 000L=we16 j
