,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,,,,,17,110,9'0,6,,,28,,7,,2
1,,,,,,17,110,9'0,-,,,2,,,,
2,,,,,,,,,,,,,,,,
3,,,,,80,,120,18,29,,,,6,8,,22
4,,,,,80,,120,18,29,,,,2,,,22
5,,,,,,5'0,330,04,,,,,0,,2,15
6,,,,,2,,,09,,,,77,,,2,
7,,,,,36,36,,6,354,44,572998,572998,86528,86528,86528,86528
8,,,,6w,,,,,,,,,,,,
9,,,,,,,,,,,,,,,-,
10,,,,,1'0,,,2,,,,,8,4,,
11,,,,,1'0,,,2,,,J,,8,3,,
12,,,fttn,,80,,280,,97,2,5,,,,,16
13,,keat,,,,,270,,,,,,,,,
14,,rx,,,,,1110,,110,,2,,,,,205
15,,,ture,,,,0,,,,688880,688880,,,,
16,,,,,,,,,25222,25222,98,,,23,23,
17,3ieuiX0,,,,,,,,,,,,,,,
