,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,10,,200,,200,,,200,,200,200,,,220,,,460,375,,,350,,,,200
1,gn,,,,,,,,,,,,,,,,,,,,,.,,.,
2,UT,,,220,,300,175,,110,,,,100,,,223,,,200,,,,,,
3,gn,dsi dsqp,,,,,,,,,,,,,,,,,,,,,,,
4,sn,dsi dsqp,,,,,,,,,,,,,,,,,,,,,,,
5,tn,,,440,,300,290,,200,,,,0,,,,,,500,,,,,,
6,u2,,,,,,,,,,,,,,,,,,,250,,200,,200,
7,u2,,,,,,,,,,,,,,,,,,,,,,,.,
8,,,,,,,,,,,,,,,,400,,,420,400,,200,,200,
9,Tppe,,,pis,,pis,,,pid,,,,,,pis,pid,A,A,,,,,,pis,
10,Naae,,,,,,,,,,,,,,,,,,,,,,,,
11,Naae,,,,,,,,,,,,,,,,,,Mueet ez eboq,,,,,,
12,pood,Cooe,996,,,896,696,696,077,,,0,,,026,,,,873,,,1007,1007,1002,1002
