,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,FOL,6r,,222,,,114,,212,,290,290,210,,210,,145,117,2.20
1,Y1FF6,6w,,,,,0,,2,,2,2,2,0,2,0,2,2,2
2,VIN,,,,,,5,,,,,,,0,,,,2,0
3,RBRF,2,0,,,,,0,0,0,0,0,0,00,,00,00,0,0
4,TIHA,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0
5,yTTC,,,,:,,06,107,,104,110,110,,36,110,,187,2,226
6,VTTE,6rl,00,0,0,,0,0,,0,,0,2,0,0,2,,,00
7,,6r,00,0'0,00,00,,,,00,00,0'0,00,,00,0,00,00,00
8,,,00,440,00,00,,00,,00,0,00,00,00,00,00,00,00,00
9,VTTA,,6.99,1007,,2227,3.00,,8'69,0'98,010,010,,,010,,,,
10,,,,,179,5,,,896,,,,,696,t96,677,,226,996
