,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,10,,,200,,,,200,,220,,00,,100,,2,,,200,,,,375,,,
1,gn,,,,,100,220,,,,,,,,00,,100,,,135,275,450,,,460,
2,,,160,,,,,,150,,,,2,,,,,100,,,,,,,,
3,UT,,,,,,,,,,,,,,,,,,,,,,,,,
4,gn,,,,,,,,,,,,,,,,,,,,,,,,,
5,sn,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,200,,,,,,,,
7,,,,,,,,,,,100,,100,,,,,,,,,,,,,
8,u2,aup,,,.,,,,,,,,,,,,,,,,,,,,,
9,,,,,.,,,,,,,,,,,,,,,,,,,,,
10,,,300,,,,,,300,,,,220,,,,,,,,,,,,,
11,,,,,.,,,,,,,,,,,,,,,,,,,,,
12,Siie,,,A,S,,,,pis,,,A,,,,,,,I,S,,,,S,,A
13,Naae,,,,,,,,,,,,,,,,,,,,,,,,,
14,Naae,,,,,,,,,,daaaa,daaaa,daaaa,,,,,,,,,,,,,
15,pood,Code,355,353,,,594,,,,,,,390,,,262,,,564,264,264,264,,565,
