,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,SIH,6w,,,,00,,,1110,,113,220,,,,,,,1177,8'98
1,AP6,6w,,,,00,,1117,,1112,,320,1290,2118,,,,625,,2897
2,VAL,bw,,4400,1113,,,,,,,320,1194,1227,,,,,2117,2000
3,TFR,6w,,,1123,1100,,966,1.160,,217,330,,1103,260,4420,1.180,,1113,1117
4,PHE,6w,,1166,,1280,,,2.090,1000,,500,,,411,5100,,,,
5,CxS,6w,810,,0'88,115,2172,127,1100,284,122,140,,5.01,1.06,1210,,,,
6,MET,6w,,1003,,,,007,,300,116,110,,1.05,126,,1228,,1117,
7,LYS,6w,,3007,020,0'08,,,1110,1.112,110,210,,,,,,,2.000,2110
8,LEU,6w,,,,,,,,1118,,1210,3110,2222,,11000,800,,,2220
9,,6w,,1006,,1.120,,1443,1115,1.006,204,400,,107,,,,,1177,1116
10,THR,6w,1445,1110,,986,,1003,212,,310,1210,117,,,,,,,1006
11,TPP,6w,450,,,445,,,,,,,118,110,110,110,,1165,,
12,,,,373,,,525,,,,,202,507,,809,609,574,,576,
