,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,bw,2,,,,2,,,,4,,,4,,2,2,,,,,,,,
1,,6r,,,1.100,,,11,2,,,,,0,,,,,,,850,,,,
2,POL,6,2000,40,2060,09,40,,40,1220,440,420,200,370,,110,170,280,08,350,,,,,
3,Y1FF6,bw,,,,,2,,2,,,,,,,,3,,,,3,3,,,3
4,VIA,6w,,2,,2,,,,3,,,,,,,,,,3,,2,2,,
5,RFRF,6w,,,,2,,,2,60,,,,,,,,3,,,,,,,
6,TIHA,6w,,0,,0,0,,,2,,,,,,,,,2,,0,,,,
7,,6w,,0,110,0,00,,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,
8,TTTR,6,,0,0,0,0,,0,,,,0,0,0,,,0,,,,0,0,,0
9,YTTD,6l,,0,,0,0,0,0,,,,,0,110,,,,,,0,,,,
10,ATTTA,3P 6 r,,00,,0,0,,210,8010,,490,,0,110,240,,00,,0,0,0,0,,
11,VTTA,,,00,,00,0,,210,8010,1960,490,00,0,110,440,440,00,120,0,0,0,0,,
12,,,,,,,,,,,,,,,,,,,,,,,,,Sbeanes
13,,,205,,,2,,,208,308,,808,3008,220,310,,272,,374,378,320,378,,377,378
