,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,%,,S.7S,09,175,909,,,,,,808,,,,,,,,9,,,,,145
1,,,001/r,,2110,2090,2450,2220,1120,180,1710,1770,330,1550,1000,1170,1120,1180,1000,048,100,111,89,870,,
2,,001/Bn,,01>,,,01,,,,0,,,,,,,,,,,,,,,
3,,001/n),,,,,,,,,,,,,,,,,,,,2,328,328,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,001/n,,880,,079,080,099,420,250,,,0,,,,,470,00t,,097,370,0,007,,
6,,001/n,,2040,,100,1220,1120,380,340,1710,088,2,,,,,,410,,380,440,440,860,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,50
8,.N,,,3,3,3,,3,3,,2,3,,,3,,,3,,,,,,3,3,
9,,,,,,,RaW,,RRR,,,RRR,Rieed,RaW,,,RaW,,,,RRR,,,,,
10,soooee,,,,,,,,,,,,,,,,,,,,,,Pprpphr,,,
11,,,,,,,,,,,,,,,,ooond,uoood,,,,,,,,,
