,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,as,,,000,,,,,,,,,050.0,,,,,1000,,,,00.2,,
1,,Meen,1135,1800,0100,1000,1000,1000,1000>,1000,1000,1000>,1000,000,1000,1000,1000,0000,0000,1000,1000,1000,1100,1100,158
2,8=Nso3eT,as,,,,,0000,000,0000,,,,,0000,,,,,,,000.2,100.0,000.0,0000,072
3,8=Nso3eT,,1000,1000,1000,1000,0000,000,8100,1000,,1000>,1000,0000,1000,1000>,,1000,1000,1000,1110,,,0002,
4,,aS,660'0,,,,,,,,,,,,,,,,,,,,9000,900'0,
5,,,,0000,1000,1000,1000,000>,000>,000,1000,1000>,1000>,1000,1000,,1000,1000,1000,1000,1000,1000,0100,,
6,,as,,,,,,,,,0005,,,0003,,,,,,,0100,,1000.0,10000,
7,8=Nso8eT,,1000,1000,1000,1000,1000,1000,1000>,1000,,1000,1000,0000,1000,1000,0000,1000,1000,1000,,1000,1600,0600,
8,,as,01117,0008,,,,,,,,,,0110,,,,2117,690'0,,,,000.2,,
9,,,,0004,1000>,1000,1000,1000>,1000>,1000,1000,1000,1000,,,1110,1000>,,9800,1000,1000>,1000,000,,7
10,8=N)so3eT,as,0100,0105,,,0000,1000,0000,,,001,0005,1000,,,6800,,,,,,10000,01900,
11,8=N)so3eT,Meen,1100,0100,00000,1000,0100,8000,0100,1000,,0100,,,1000,1000,,1000,1000,0100,1000,1000,1600,,
12,,aS,0222,,,,,,,,,,,,,,,,,,,,1000,100'0,9008
13,,,011.2,,1000,1000,1000,1000,1000,1000,1000>,1000>,1000,1000,1000,,1000,,1000,1000,1000,1000,0005,0105,
14,8=Nso,as,,,,,,,,,0000,,,00000,,,,,,,,,1000.0,10000,
15,8=Nso,,1000,1000,1000,1000,1000,1000,1000>,1000,0000,1000,1000,,1000,1000,,1000,1000,1000,1000,1000,1600,1600,
16,,,,,,,,,,Prrree,,,,,,,,,,,,,,PHHA,SPRAS
