,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,Commercial quality,Commercial quality,,,,,,,,,,,,,,,,,,,,,,,
1,,,M1,,,,,,,M2,,,,,,,M3,,,,,,,Amb,
2,,,RDI,,,Control,,,Ab,RDI,,,Control,,,Ab,RDI,,,Control,,,Ab,RDI,Control
3,DE,,47.2,+++++I+I+I ,2.3,46.9,,1.9,ns,45.9,+,2.1,45.1,,2.1,ns,45.6,+,2.2,45.5,,1.3,ns,ns,ns
4,DL,,39.7,+++++I+I+I ,1.4,41.6,+++1+1+,3.8,ns,39.6,+,2.0,39.8,,2.0,ns,39.6,,2.0,39.4,,1.0,ns,ns,ns
5,Weight,,51.0,+++++I+I+I ,4.1,51.2,+++1+1+,0.5,ns,52.2,+1+1+I,8.7,48.8,+1+I+I,8.7,ns,52.3,+++1+1-,9.1,48.5,+I+I+I -,3.6,ns,ns,ns
6,SS,,5.3,+++++I+I+I ,0.9,4.9,+++1+1+,0.5,ns,5.6,+1+1+I,0.8,5.2,+1+I+I,0.8,ns,6.3,+++1+1-,0.2,4.9,+I+I+I -,0.8,***,*,ns
7,Firmness,,4.2,+++++I+I+I ,0.4,4.4,+++1+1+,0.4,ns,3.4,+1+1+I,0.7,3.4,+1+I+I,0.7,ns,3.2,+++1+1-,0.5,3.2,+I+I+I -,0.4,ns,ns,*
8,,L*,34.9,+++++I+I+I ,0.7,34.9,+++1+1+,3.0,ns,34.4,,1.2,34.2,+,1.2,*,34.4,+,1.0,33.8,+,0.9,ns,***,ns
9,,a*,2.8,+I +I+I+I,0.2,3.0,+I+1,0.6,ns,5.2,+I+I,0.9,6.5,+I+I,0.9,*,8.8,+I+1,1.7,8.8,+I+I,1.6,ns,***,***
10,Colour,b*,12.8,+I +I+I+I,1.2,12.3,+I+1,0.9,ns,13.0,+I+I,1.1,15.1,+I+I,1.1,*,14.2,+I+1,1.0,14.7,+I+I,1.5,ns,*,**
11,,C*ab,78.0,+I +I+I+I,1.3,12.7,+I+1,0.9,ns,68.3,,1.2,16.5,,1.2,*,58.3,,1.6,17.2,,1.9,ns,***,***
12,,hab,78.0,+I +I+I+I,5.2,76.4,,2.7,ns,68.3,,2.9,66.8,+,2.9,ns,58.3,+,4.5,59.1,+,3.2,ns,***,***
