,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,,Days of ripening,Days of ripening,,,,,,,,,,,,,,,Sign.,Days of vacuum-packed storage,Days of vacuum-packed storage,Days of vacuum-packed storage,Days of vacuum-packed storage,,,,,,,,,Sign.,,
1,,,,,,10,,,,20,,,,40,,,,PD,56,,,,112,,,,168,,,,Pv,,PF
2,,CH,M,co,SEM,CH,M,co,SEM,CH,M,co,SEM,CH,M,co,SEM,,CH,M,co,SEM,CH,M,co,SEM,CH,M,co,SEM,,,
3,C12,4.07ab,0.77,0.86,0.032,1.05,1.07,1.49,"0.132,",1.86,1.58,2.09,0.1642,2.27,21.6,2.53,1.464,*,96.9,5.63,6.03,0.551,5.89,7.8,9.45,0.828,8.4,7.73,8.55,6.67,n.s.,,n.s.
4,C14,4.07ab,3.90a,5.40b,0.3291,7.62ab,6.72a,13.3b,1.430,13.6,11.8,15.1,1.273,20.2,21.6,22.8,1.464,,2.84,72.6,86.5,8.331,88.6,2.03,142,12.62,137,121,145,6.67,,,n.s.
5,C14:1n-5,0.17,0.14,0.17,0.034,0.38,0.79,1.04,0.175,1.23,0.79,1.45,0.342,1.33,2.04,1.35,0.236,n.s.,2.84,2.03,1.38,0.404,1.72,2.03,0.96,0.37312,1.38,1.21,1.25,0.3612,n.s.,,n.s.
6,C15,0.57,0.46,0.49,0.061,2.74,1.98,1.10,0.398,3.05b,1.15a,1.36a,0.402,5.15,1.47,1.44,1.14,n.s,4.33,3.11,3.12,0.332,3.5,4.36,4.78,0.37312,5.77,4.96,5.31,0.3612,,,
7,C16,2.45,2.81,94.8,6.571,153ab,6.46,15.0,2.222,242,205,16.7,1.61g,359,32.9,348,21.14,****,121,106,111,82.21,114,149,173,19.8,2078,177,171,2052,,,n.s.
8,C16:1n-7,2.45,2.81,4.23,0.4451,6.76,6.46,15.0,0.5362,16.8,12.4,16.7,1.61g,29.4,32.9,29.2,2.104,***:,121,106,111,9.27,114,149,173,19.8,210,177,171,18.9,n.s.,*,n.s.
9,C17,1.60ab,1.36a,0.75,0.100,1.55,1.86,5.34b,0.3882,6.54,4.71,3.09,0.5882,4.88,5.61,4.49,0.6184,***:,22.8b,12.0a,15.2ab,2.23,19.3,22.5,17.2,2.53,26.9,17.1,18.0,3.942,n.s.,*,n.s.
10,C17:1,0.73,0.64,0.75,0.100,1.55,1.86,3.2,0.3882,3.31,2.78,3.09,0.5882,4.88,5.61,4.49,0.6853,,22.8b,12.0a,15.2ab,2.23,19.3,22.5,17.2,2.53,26.9,17.1,18.0,2.66,,,
11,C18,37.6ab,33.1a,48.2b,3.101,84.2,64.9,145.1,17.42,141,305,149,11.52,223,237,200c,19.6,***,1136,1050,1167,30.61,1449,1572,1903,1551,2704,1982,2167,2502,,,n.s.
12,C18:1n-9,89.5,86.3,121a,10.1,202ab,166a,363b,42.22,359,305,368,25.13,613,609,573,31.34,***,1733,1668,1753,116,1812,2013,2026,210,2510,2281,2943,254,n.s.,,n.s.
13,C18:2n-6,54.2,50.1,61.7,6.121,83.6,0.15,103,11.31,163,134,181,16.642,255,307,324,23.03,***,836,912,970,34.5,984,1273,1335,126,1407,1265,1356,135,1.,,n.s.
14,C18:3n-6,5.54,5.48,5.65,0.761,7.56,5.10,0.17,0.0091,10.9,9.26,15.1,0.0432,15.1,16.2,19.0,0.0573,***,56.0,58.1,50.1,0.139,2.08,82.7,48.6,12.7,97.0,87.4,75.4,0.2902,1.,,n.s.
15,C18:3n-3,5.54,5.48,5.65,0.0741,7.56,5.10,6.49,0.9251,10.9,9.26,15.1,1.302,15.1,16.2,19.0,1.263,**,56.0,58.1,50.1,2.89,58.3,82.7,48.6,12.7,97.0,87.4,75.4,12.9,n.s.,,n.s.
16,C20,0.64,0.67,0.97,0.0741,1.42,4.16a,10.4b,0.2932,10.1,1.87,12.0,0.29723,15.9,19.9,2.99,1.834,***:,14.3,70.9,94.0,1.54,10.6,100,131,13.56,15.9,90.6,123,1.57,n.s.,,n.s.
17,C20:1n-9,0.94,1.03,1.60,0.1761,3.11a,2.38a,6.61b,1.342,4.52,6.18,6.14,0.6062,12.4,13.7,16.7,1.834,***:,58.0,55.6,68.3,4.30,56.9,83.7,105,10.6,84.5,74.4,91.9,7.08,n.s.,,
18,C20:2n-6,0.94,1.03,1.60,0.1761,3.11a,2.38a,6.61b,0.8652,4.52,6.18,6.14,0.6062,12.4,13.7,16.7,1.163,***,58.0,55.6,68.3,4.30,56.9,83.7,105,10.6,84.5,74.4,91.9,7.08,n.s.,,
19,C20:3n-6,0.32,0.19,0.28,0.070,0.61,4.16,0.64,0.0931,2.07,1.11,15.3,0.2222,20.4,23.6,3.85,0.261g,***,58.1,90.2,9.79,0.777,12.0,119,132,14.5,112,102,122,17.7,n.s.,,n.s.
20,C20:4n-6,2.58,0.51,0.30,0.4371,4.86,0.34,4.57,0.9321,11.5,9.23,15.3,0.1582,20.4,23.6,35.4,3.503,***,58.1,10.5,63.6,9.40,83.9,119,132,2.14,16.7,15.8,16.9,1.86,n.s.,,n.s.
21,C20:3n-3,0.21,0.51,0.30,0.1181,0.48,0.34,0.81,0.1191,1.34,0.73,1.03,0.1582,1.83,2.01,2.22,0.1853,,9.02,10.5,10.7,0.584,10.5,15.5,18.5,2.14,16.7,15.8,16.9,1.86,n.s.,,n.s.
22,C20:5n-3,0.19,0.22,0.22,0.059,0.36,0.23,0.56,0.103,1.28,1.33,0.80,0.205,1.05,1.65,1.75,0.348,n.s.,1.58,3.89,3.64,0.909,2.17,4.09,3.16,0.509,3.06,2.50,2.20,0.423,n.s.,,n.s.
23,C22,0.56,0.15,0.15,0.110,0.92,0.70,1.23,0.192,1.71b,0.51a,0.59a,0.257,1.05,0.98,1.35,0.303,n.s.,3.49,2.93,5.06,0.550,3.30,3.41,2.63,0.379,4.91,3.47,4.60,0.649,n.s.,,n.s
24,C22:1n-9,0.31,0.25,0.32,0.030,0.96,0.85,1.31,0.137,1.31,1.19,1.03,0.203,1.23,0.82,1.42,0.214,n.s.,4.48b,1.65a,2.53ab,0.590,5.87b,3.36a,2.74a,0.609,5.12,2.86,2.54,0.605,n.s.,,n.s
25,C23,3.55,6.86,11.3,1.271,11.7,13.7,13.2b,1.271,15.2,25.4,24.2,2.071,32.4,26.9,41.7,2.283,***,58.1,40.6,81.8,35.0,100,68.8,69.0,5.40,49.1,65.7,50.4,5.89,n.s.,,ns.
26,C23,3.55,6.86,6.23,0.975,11.7,13.7,18.6,1.6442,26.1,25.4,24.2,1.1433,33.9,26.9,26.9,2.283,**,58.1,40.6,47.9,5.04,57.5,68.8,69.0,5.40,49.1,65.7,50.4,5.89,n.s.,,ns.
27,C24,290,274,375,0.4551,4.38,482a,982b,1072,1057,11.9,1117,78.63,16.1,11.5,18.9,94.54,***,59.2,5437,30.6,8.091,38.5,44.7,8159,70212,104b,8614,9880,8322,*,*,n.s.
28,FFA,121ab,114a,375,26.11,600ab,482a,982b,1072,1057,889,1117,36.63,1680,1780,1709,42.84,***,5777,5437,2579,239a,6277,7520,3968,70212,9974,8614,9880,8322,*,,n.s.
29,SFA,121ab,114a,131,10.3,219ab,216a,450b,1072,453,381,477,28.13,670,698,629,34.44,***,1962,2330,2579,106,2938,3512,3968,70212,5152,2574,3262,4412,*,,n.s.
30,MUFA,95.3,92.4,131,"10.9,",219ab,181a,394b,,393,331,402,28.13,670,670,632,34.44,***,1962,1862,1979,130,2024,2292,2355,,2856,2574,3262,272,n.s.,,n.s.
31,PUFA,73.5,67.5,83.3,6.841,111,84.3,138,14.51,210,177,239,20.12,340,412,448,28.83,***,1199,1245,1264,53.21,1314,1716,1835,16012,1966,1701,2043,1702,,,n.s.
