,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,VN160I-,,,,,,0060,,,,,,,,,,VN 600-,,,,,,VN,
1,,1115,,2027,111'0,,,0000,,0100,,,,,,,,,,,,,,0000,
2,,,,,,,,,,,,,,,,,,1800,,,,,,,
3,,,,,9960,,6680,1660,,,,,,,,,,880,6660,,,,660,6890,
4,,,,9000,,,,,,,,,,,,0800,,,6660,,,,,,
5,,,,,z-0I X 9't,,,,,s-0I>,,,,,,0260+0000-800,,,0000,,,,,0000,
6,,,,,,zs6648'0+ s,,,,,,zds00000,,,,0260+0000-800,S00000,,,00000,100,,,,
7,,,,00.2,,,,VN,,,,,,,,,,,,,,,,,
8,,,,,,,,,,9060,6680,,,,,,,1112,,,,,,,
9,,,,,,,9060,,,6060,,,9890,,,0002,,,,,,,,,
10,,,,,,,988'0,1680,0680,,,,,,,,,9060,,,,,,,
11,,,,,8680,,0160,,6080,,,,8880,660,,,,,,,,,,,086'0
12,,,,,,,,,8-01>,,,,,,,,,,0000,,,,,100,0000
13,,,zs+0000+,,,,,ds 8LZ0'0+vZ'98,,,,,,,s90000+s,,00000,,,0000,ds 6L00'0,,,"ds 8ZZI'0 + 1809""9",
14,,,,,,,,T,*,,,,,,,e0,,,u,,,,,,
15,Prrrrrrrs,Hd,,,,,,,,,,,,,,,,,,,,-TW,,,
