,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,Butyl acetate,E9,443.74 a,443.74 a,0.00 b,0.00 b,0.00,b,0.00,b,0.00 b,0.00 b,0.00,b,,0.00b,0.00b,0.00,b,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00,b,0.00,b
1,2-Methylbutyl acetate,E10,443.95,a,0.00 b,0.00 b,0.00,b,0.00,b,b,b,0.00,b,,0.00,,0.00,b,0.00,b,0.00,,0.00,,0.00,b,0.00,b
2,Butyl propionate,E11,68.13 a,68.13 a,0.00 b,0.00 b,0.00 b,0.00 b,0.00,,0.00 b,0.00 b,0.00,b,,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00 b,0.00 b,0.00,b
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Amyl acetate,E12,82.41a,82.41a,0.00 b,0.00 b,0.00,b,0.00,,0.00,b,0.00,b,,0.00 b,0.00 b,0.00,b,0.00b,0.00b,0.00,,0.00,,0.00b,0.00b,0.00,b
5,Methyl Hexanoate,E13,105.14 a,105.14 a,0.00 b,0.00 b,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00 b,0.00 b,,0.00 b,0.00 b,b,b,0.00 b,0.00 b,0.00,b,0.00,b,0.00 b,0.00 b,0.00,b
6,Butyl butyrate,E14,109.81,a,0.00 b,0.00 b,0.00 b,0.00 b,0.00,b,0.00b,0.00b,0.00,b,,0.00 b.,0.00 b.,0.00,b,0.00b,0.00b,0.00,,0.00,b,0.00 b,b,0.00,b
7,Butyl 2-methylbutyrate,E15,109.81,a,0.00b,0.00b,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00b,0.00b,,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00,b,0.00,,0.00 b,0.00 b,0.00,b
8,Ethyl hexanoate,E16,19.57,a,0.00b,0.00b,0.00,b,0.00,b,0.00 b,0.00 b,0.00,b,,0.00 b,0.00 b,0.00,b,0.00b,0.00b,0.00,b,0.00,b,0.00,b,0.00,b
9,3-Methyl-2-buten-1-ol,E17,15.20 a,15.20 a,0.00b,0.00b,0.00 b,0.00 b,0.00,,0.00 b,0.00 b,0.00 b,0.00 b,,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b,0.00 b
10,acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Isoamyl butyrate,E18,1845.68,a,0.00 b,0.00 b,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00 b,0.00 b,,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00,b
12,Hexyl acetate,E19,1845.68,a,19.30 b,19.30 b,4.93,b,0.54,b,18.64 b,18.64 b,3.76,b,,0.00 b,0.00 b,0.00,b,1.28 b,1.28 b,0.00 b,0.00 b,9.07,b,0.00,b,0.00,b
13,Methyl heptanoate,E20,12.32,a,0.00 b,0.00 b,0.00,b,0.00,b,0.00 b,0.00 b,0.00,b,,0.00 b,0.00 b,0.00,b,0.00 b,0.00 b,0.00,b,0.00,b,0.00,b,0.00,b
14,Butyl valerate,E21,4.37,a,0.00 b,0.00 b,0.00,b,0.00,b,0.00,0.00 b,0.00,b,,0.00,0.00 b,0.00,b,0.00b,0.00b,0.00,b,0.00,b,0.00,b,0.00,b
15,2-Hexen-1-ol acetate,E23,45.33,a,0.00 b,0.00 b,0.00,b,0.00,b,0.00,b,0.00,b,,0.00,b,0.00,b,0.00 b,0.00 b,0.00,b,0.00,b,0.00,b,0.00,b
16,2-Hexen-1-ol acetate,E24,124.11,a,0.00,0.00b,0.00,b,0.00,b.,0.00,0.00 b,0.00,b,,0.00,b,0.00,b,0.00b,0.00b,0.00,b,0.00,b,0.00,b,0.00,b
17,Hexyl propionate,E24,124.11,a,0.00,b,0.00,b,0.00,b,0.00,b,0.00,b,,0.00,b,0.00,b,0.00 b,0.00 b,0.00,b,0.00,b,0.00,b,0.00,b
18,Isobutyl hexanoate,E25,14.90,a,0.00b,0.00b,0.00,b,0.00,b,0.00,b,0.00,,,0.00,b,0.00,b,0.00,b,0.00,b,0.00,b,0.00,,0.00,
19,,,,,,,,b,,,,,,6,,,b,,b,,,,,,,,b,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Heptyl acetate,E26,7.86,a,0.00,b,0.00,b,0.00,b.,0.00,b,0.00,b,,0.00,b,0.00,b,0.00,b,0.00,b,0.00,b,0.00,b,0.00,b
