,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,,,,,,,,,,,,,2112.21321221.2.221,,,,,,,,,,,
1,,,,,,,,,,,,,,212222122.1.121.22222,,,,,,,,,,,
2,,5,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,2.1221222222,,,,,,,,,,,
4,,SEM,,,,,,,,,0000,,,,,000,0000,0000,1000,0000.0,00000,1000,,,0100
5,1.2C,,,,,,,,,,,,,,,010'0,111,110,,,,6900,949,,
6,D.6,,,,,,,,,,,,,,114,0105,800,110,0000,6000,0002,0100,089,320,252
7,1.2C,,,,,,,,,,,,,,014,010.4,600,112,010,,0025,290'0,,315,
8,D.b,,,,,,,,,,,,114,,114,,600,110,8000,6000,,890'0,,,
9,1.1C,,,,,,,,,,,2,2,,11,,110,110,0115,1100,0000,390'0,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,
11,D.6,,,,,,,,,,,,,,012,,80'0,110,000,6000,,900,,,
12,1.2e,,,,,,,,,,,,114,,114,1100,600,112,1000,1000,,900,,,
13,D.6,,,,,,,,,,,,,,,10,60,,110,0100,,3900,,,088
14,1.11,,,,,,,,,,,,012,,,,600,110,6000,0010,,3900,,,214
15,D.t,,,,,,,,,,,,11'0,,012,0105,800,110,000,1000,,600,,211,
16,,,3,,,,,,,,,3,,,,910,11,,6000,0100,,990,,,
17,D.4,,,,,,,,,,,,,,,000,600,0112,011.2,0100,,390'0,,,
18,,,,,,,,,,,8,,,,114,,800,110,000,1010,,9900,89,,
19,D.6,,,,,,,,,,,2,,,,010'3,,112,,1110,,,649,,
20,,,,,,,,,,,,,,,114,,600,012,C000,,0000,890'0,,,
21,D.t,,,,,,,,,,,,,,,,600,112,0111,1110,,8900,,,
22,,,,,,,,,,,,,,,,100,,,,0100,,900,2,,
23,,,,,,,,,,,,,,,,,,,,,,0200,,,
24,,,,0:93,0:8,C:010,C120,C110,C:110,C:111,,,,,,,,,,,,,,,
