,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,,,,,1720-110,,,,,,,,,,,,,,,,,,,,,,7771,,,220,,10-,00000,010,,,,00000,100000,009-00,000-000,200-000,,,,200200
1,,,,,,,,,194,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,086T,+,+,+,+,,,111,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,
3,,,,899,,,101,086T,,,,170,232,,111,,60,858,,,,,,,500,1000,,,,,,,,,,,,,,,,,,,,
4,,,,137,,,,,,,,220200,,,,,,,,,,,,550-330,,,,,,,,0225,180,,,,,,,,00880,,,,,
5,,,,,,,,,,-500,,220200,,,,,,,,,,,,550-330,,,,,,,+,+,180,,,,,,,,00880,,,,,
6,,,,,,,,,,-500,,220200,,,,,,,,,,,,550-330,,,,,,,,,44,,,,,55,,,00880,,,,151,
7,,,,+,+,,,,,+,+,,,,,,,000,,,,,00,000,,,,,,,,,,,,,,,,,,,,,,
8,,,577,115,211,69,250,510,,,888,375,250,,,,,210,,,000,,,,,,,,,,,,,,,,,,,,,,,,,
9,,050 - 000,050 - 050,,,100-10,,,050 - 050,050,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,000,000,,000,000,,,000,+I,,000,,000,,,000,000,,000,,000,,,,,000,,,,,,,,,,,,,,,,,,,
11,,05.0,050,05.2,050,00,,,,,220,350,,,,,550,350,,550,,,,,,300,550,111,,,,,,,,,,,,,,,,,,
12,,220200,10000,,,009-009,,,200-200,,,009-00,,2000200,110100,,200220,200200,,,,,10100,200-000,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,,949,000,000,115,000,000,000,,000,000,,,000,000000
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1,+1,4,+,+,+1,,+1,+,+,000,000,,,000,000000
15,,,111.,+1,000,000,,,,+1,+,,,,,,000,890,,,,100,000,,,,,,uS,,,,,220,20,,20,,0'20,,220,,0'20,120,220,000000
16,,,272,,020,00'9,100,220,,115,400,350,10,,,69',,,00,,,,,,,,88'0,,,,,,,,,,,,,,,,,,,
17,,,,,000-000,,,,,,200-210,,,,,,,,,200-200,,,,,,,1.00,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221122,221122,221122,,221122,221122
19,,,,,,,,,,8'46 F 0,,,,,,,,,,,,,2.12,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,+1,8'46 F 0,,,,,,,,,,,,+,+1,,,,,,,,,,,,,,,,,,,,,,,
21,Cr,,,,,08,300,111,,,,385,210,,210,424,16,107,098,112,330,350,410,280,,2,2,,,,,,,,,,,,,,,,,,,
22,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,Ceetee,,,,,S1onpord 88 pue s883,S1onpord 88 pue s883,,,,MiK,,,,,,,,,,,,,,,,,,,,,,,,,,Cessee,,
