,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,,,,,,,,,,,,,,,,,,,10.0,00.2,,,,,,,
1,,,,,,,,,,,,,,,,,F0020,F0020,F0020,,,,,430,,,
2,,,,,,,,,100,000,100,,,,,,3,,,,,,,,,,
3,,,,10,,,,,000,000,,,,,,,,,,,,,,,,,
4,Mik,,,,,,,,,,0,,,,,,,,,,,,,,,,
5,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
6,,,,,,,,,,00.4,10'0,,,0,00,0,,,,10'0,2,000,,,,,
7,,,,,,,,,8,,015,,3,,,,,,,,,014,030,,,,
8,,,,,,,,,,,,,1,,,,,,,,,,,,,,100
9,,,,,,,,,,,,,,,,,0,,,,,,,,,,
10,,,,,,,,,10,,,,,,,,,2,,,,,,2,,,
11,,,,,,,,,,,,,,,,,,,,,,100,,,,,
12,,,,,,,,,,,,,,,,,,,,,,002,,,,,
13,,,,,,,,,,,,,,000,000,,,,,,,,,,,,000
14,,,seees,,,,,,,,,,,,,,,,,,,,,,T..T.O,T..T.O,
15,,,,,,,,,,,500,,,10,0,,,,,,00000,00000,00000,,,,
16,pue srens,pue srens,,,,,,,,,,,,,,,00000,,,,,,,,00000,00000,
17,,pue,strrrres,,,,,..,..,,,,,,,0,0000.00,0000.00,0000.00,0000.00,,,,,,,
18,,,,,5,I-,I0-,I0-,140,600,005,,,I0-,0,,,,,,0,1,,YTT,5,,100-
19,,,,2007,,,,,,,090,110,,I0,0,0,40,,,,=,012,,,,1,100
20,,,,,,,,,bo,0o,,bo,,,,,,,,,,,,,,,
21,rono18 poor,,,,,,,,,,,,,,,,,,,,,,umipos,,,,Cppppr
