,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,uZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,0088,,888,,,,(7'44/9'48) 488,,,,,,244,,,,,,314,,,,,,,,
2,Re,,,,114,,270,,,,,204,,00000,,,,,,,,,,,,,,,,
3,,,,,,069,,,,(59'4/69'5) 88'S,,,,,0111(101)11'9,068,104,,,,440,,,,,,(Z6'v/Z6'8) Z6'8,,,
4,Pp,,1110,111111,005,800,,,,,,,,,,024,,,,,110,012,,,,,,,,
5,,,,,,,,,,(0011100,,,,,,,,000,,,,,,,,,,000,,700
6,,,,,600,110,,,,,,,,,,80'0,00.2,,,,00.7,22.0,,,,,68'0/690) 690,,,
7,Pd,,,100600,,081,,,,00000000,N,,,,,100,,,100/0000,AN,60'0,114,00000000,1000100,,,,00,,
8,,00,,,,,,,,,,,0/00000,,,,,,,,,,,,,,,,,
9,,,,,,,,SAN,Spnix,Sunix,,,Spnis,,,,,qSPN,Spnis,,,,,S,Spnis,ySdN,Sunx,,Spnux,uSPN
