,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,,og0'4Z F8'668,og0'4Z F8'668,,,,,,,eg&ZI F6'68I,,"qgS""SZ F 0'986","qgS""SZ F 0'986",,,qev0I,qpI'SI F 8'998,qg60I,,,egl008,egl008,q&'9 F 0'88I,q&'9 F 0'88I,,eg00FZ,0028,,rg9'9 F 8'99,,,,v0,,,,
1,,og0'4Z F8'668,,,,,,,,eg&ZI F6'68I,,,,,,qev0I,,qg60I,,,,egl008,,,,eg00FZ,0028,,rg9'9 F 8'99,,,,88,,,,
2,Tv8'8P,Tv8'8P,Tv8'8P,,,,ovZ'ZZ F 8'888,,,,"pg&""8I F v'OvZ",,qg0'0 F 9'9b,,q8'0 F 8`S6Z,qv90,,,,,,gI0F87,,,qez0'IF L'C8I,,,,,,,,096,qg8'8F I'9Z,,,
3,,+1,,,,,ovZ'ZZ F 8'888,,,,"pg&""8I F v'OvZ",,qg0'0 F 9'9b,,q8'0 F 8`S6Z,qv90,,,,,,,,,,,,,,,,,,qg8'8F I'9Z,,,
4,,,,,,,ovZ'ZZ F 8'888,,,,"pg&""8I F v'OvZ",,qg0'0 F 9'9b,,q8'0 F 8`S6Z,qv90,,,,,,,,,,,,,,,,,,qg8'8F I'9Z,H,,
5,,,pg8`8I F 8'Z86,qvb'88F Z'ZIL,qvb'88F Z'ZIL,qZ'Zt8 F 0'bI8Z8,,,,"qp&""CbF0'69S",ev0'Z F Z'Z9,qrgZ'Z8 F Z'LbL,qrgZ'Z8 F Z'LbL,,,egL'O F 8'ZZ,,,qpZ'0 F Z'98,qpZ'0 F Z'98,rg004,rg004,,povb'I F 8'9S,7qpS'Z F 4'0IZ,qg0'0 F 9'8,qzZ'8F0'St,qg8Z F Z'80I,eg6'I6 F t'Z8,v6'0 F 9'9I,qsZ'II F 6'O+9,01,01,1S'O F88I,H,,
6,evS'ZF 0'bLb,evS'ZF 0'bLb,evS'ZF 0'bLb,eg6'8IF0'Z8S,eg6'8IF0'Z8S,,,,pvLIFL'88,,,,01,01,01,"pg8*L F 8""LvT",PZ'bZ F 6'6Lb,pg6IF68,pg6IF68,,og8'bF0'S0I,,,gI0F48,"xqp9""Z F 6'L6I",0069,,rv6'I F 8'C7,ug0'9I F8'09,,,qgI'0 F 0'9I,,,,,
7,,,,,qv0'8S6 F6'L9IZI,qv0'8S6 F6'L9IZI,,,ogZ'0F0'8L,qg00 F8'86,vv6'0FI'IL,q4'LIF6'OI6,ogL'IFI'8S,,,g8801,,qgL'OFL'SZ,qgL'OFL'SZ,,qgZ'LF 0Z,qgZ'LF 0Z,2qzZ`6 F 8'SZZ,2qzZ`6 F 8'SZZ,,1089,1089,"evZ'I F 6""II",,v09S,,,,,,H,
8,qvZ'Lb F b'8I9,qvZ'Lb F b'8I9,qvZ'Lb F b'8I9,qa6'8IF 8'6&L,qa6'8IF 8'6&L,,qgL'0IF 0'v96,qgL'0IF 0'v96,qgL'0IF 0'v96,,qg8`OTF L'SLT,,,po6'8 F 8'IO8,rg9'0 F 6'6Z,rg9'0 F 6'6Z,,,ev0075,,qv0'Z F I'6Z,,,ogZ'0 F 9'Z,,,,qg0'0I F 8'C6,,qvI'I F b'8I,qrz8'6IF 8'889,qrz8'6IF 8'889,,qg&I F8'I8,,qI'O F 9'I8,qI'O F 9'I8
9,,,,Peer,,Peer,dn,Peer,,Peer,,Pee,,dnd,Peer,,ee,,,Peer,,dnd,Peer,,Peer,dna,Peer,,Peer,,Peer,,,Peer,,,Peer
10,'ON,6,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
