,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,,,,,,,c,,,,,,,,52.2,,b,546,,41.9,,b
1,,MB,458,,64.9,A,a,536,+,20.8,D,a,579,+,55.6,B,a,584,Y,110,B,a
2,,TM,119,,18.5,CD,b,244,,65.8,D,a,323,+,64.2,CD,a,264,+,35.9,c,a
3,POgl,SG,263,+,4.9,B,c,752,+,32.5,A,b,1370,?,191,A,a,1460,+,196,A,a
4,POgl,PV,85.0,+,19.9,D,b,247,+,51.6,D,a,200,,30.3,D,a,247,?,33.7,c,a
5,,CF,169,,14.2,C,c,327,,40.1,C,b,395,,20.3,C,a,343,?,29.5,c,ab
6,,CR,136,,33.7,CD,b,287,,38.1,CD,a,271,,35.4,CD,a,304,+,28.9,c,a
7,,MB,1810,,251,A,c,3450,,132.6,BC,b,4090,?,351,B,ab,4760,+,576,B,a
8,,TM,572,,36.5,C,c,1760,+,150.8,D,b,3250,,298,c,a,2850,?,396,D,a
9,MVgl,SG,755,,34.0,C,c,1820,+,52.7,D,b,3290,,424,c,a,3510,?,437,CD,a
10,MVgl,PV,743,,169,C,b,5360,,902.4,A,a,4870,,481,A,a,5860,?,464,A,a
11,,CF,743,,199,C,c,3840,,598.0,B,b,4860,,188,A,b,4150,,582,BC,ab
12,,CR,1220,,194,B,c,3020,,165.2,c,b,3160,,188,C,b,3780,+,92.1,c,a
13,,MB,86.6,,8.2,A,b,116,+,13,B,a,74.0,,3.6,B,b,89.1,,15.3,B,b
14,,SG,1.2,,0.1,E,c,20.4,+,5.4,C,b,42.8,,ND,c,a,36.6,?,10.0,C,a
15,DPac,SG,,,ND,,,,,ND,,,,,ND,,,,,ND,,
16,DPac,PV,29.7,+,8.0,D,b,159,,29,A,a,119,,16,A,a,157,?,34.9,A,a
17,,CF,49.4,,7.7,B,c,96.3,+,12.3,B,b,79.1,+,12,A,a,78.1,?,7.2,B,b
18,,CR,49.4,,4.8,c,c,164,+,16,A,a,79.1,,11.2,B,b,96.0,,13.3,B,b
19,,MB,102,+,0.8,A,c,141,+,12,B,a,108,+,16,B,bc,128,+,5.8,B,b
20,,TM,2.7,+,ND,E,c,79.8,+,14.9,c,a,43.8,,2.3,c,b,33.8,+,5.8,c,b
21,PTac,SG,,,ND,,,215,,ND,,,161,,ND,,,ND,,,,
22,PTac,PV,39.6,+,10.2,D,b,215,+,36,A,a,161,,19,A,a,212,+,40,A,a
23,,CF,83.3,,7.9,B,c,153,+,18,B,ab,172,+,12,A,a,130,,18,B,b
24,,CR,68.3,?,5.6,C,c,191,+,13,A,a,100,,13,B,b,108,+,9,B,b
25,,TM,,,ND,,,,,ND,,,,,ND,,,,,ND,,
26,,TM,,,ND,,,,,ND,,,,,ND,,,,,ND,,
27,POac,SG,,,ND,,,,,ND,,,,,ND,,,121,,ND,,
28,POac,PV,40.0,?,7.9,c,c,152,,33,A,a,81.6,,9.9,B,b,121,,8,A,a
29,,CF,104,+,11,A,c,185,+,26,A,b,223,,18,A,a,48.3,,0.8,B,d
30,,CR,61.7,,3.8,B,c,182,+,12,A,a,102,,6,B,b,115,,8,A,b
31,,MB,289,,47,A,c,556,,38.2,D,b,621,+,70.9,c,ab,725,,80.0,D,a
32,,TM,14.5,,2.1,c,c,85.2,,8.9,E,b,210,?,8.2,D,a,199,?,27.0,E,a
33,MVac,PV,228,,51,B,c,2140,,330,A,ab,2030,,210,A,b,2490,,246,A,a
34,,CF,291,,6,A,c,1480,,210,B,b,2000,,110,A,a,1590,,210,B,b
35,,CR,338,+,8.9,A,c,974,,66,C,b,917,,43,B,b,1070,,17,c,a
36,,MB,92.0,,8.9,A,b,123.0,,5.7,A,a,78.3,,11.9,A,b,83.2,,10.6,A,b
37,,TM,4.0,,0.7,C,c,46.2,,8.7,C,b,74.0,,2.5,A,a,56.7,,11.3,B,b
38,PTcu,SG,,,ND,,,,,ND,,,,,ND,,,,,ND,,
39,PTcu,PV,6.0,,0.9,,d,64.4,,13.1,B,a,20.5,,4.1,c,c,37.5,,2.1,c,b
40,,CF,,,ND,,,39.8,+,7.7,c,b,53.9,,7.2,B,a,34.0,,0.4,CD,b
41,,CR,15.1,?,3.4,B,c,69.0,,4.6,B,a,30.4,,0.5,C,b,25.2,,3.7,D,b
42,,MB,94.3,,11.9,A,a,84.6,+,3.5,A,a,51.9,,9.0,B,b,54.4,,11.8,A,b
43,,TM,,,ND,,,14.1,,3.2,D,b,20.8,,0.5,c,a,13.5,+,3.1,BC,b
44,POcu,SG,,,ND,,,,,ND,,,,,ND,,,,,ND,,
45,POcu,PV,8.3,?,2.1,c,b,25.1,,7.2,c,a,3.2,,0.6,D,b,9.5,+,1.9,c,b
46,,CF,41.9,,4.2,B,c,58.5,,10.2,B,ab,70.6,,8.1,A,a,48.3,,0.8,A,bc
47,,CR,33.2,,6.4,B,b,65.3,,7.1,B,a,24.8,+,0.8,c,bc,19.4,+,2.4,B,c
48,,MB,321,,32,A,b,566,+,4,B,a,524,+,67,B,a,599,+,75,A,a
49,,TM,25.0,,4.3,D,c,165,,29,C,b,347,,15,c,a,316,+,53,c,a
50,MVcu,SG,,,ND,,,,,ND,,,,,ND,,,,,ND,,
51,MVcu,PV,57.3,,13.5,c,c,822,+,154,A,a,609,,55,c,b,472,+,27,A,a
52,,CF,57.3,,11.2,CD,c,449,+,92,B,b,609,,60,A,a,472,?,9,B,b
53,,CR,139,+,35,B,c,449,+,42,B,a,341,,8.7,C,b,342,,36,C,b
