,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,,eg1000,eg1000,00,eg1000,eg1000,,,qvZ0'0F,pg00,,qev000,qv600+,qvC0'0,qevZZ'0F,qg0I0,qegII'0,,y00,00,eyZ00,evZ00,pgZO'0F,rg9OO'OF6ZI'O,rg9OO'OF6ZI'O,qev0ZO'0Fs,qeg0O0'0 F 8O0'0,,"rqvZ8""O F S'OI",qev9I'0 F,qev9I'0 F,pgI0,pgI0,p00,,qgZ7'0,qgZ7'0
1,,0004,0002,,0042,,,,,,,14,,80,98,,,,S8',83,,,qsv9OO'O F vbI'O,rg9OO'OF6ZI'O,,qsv0Z0'0FZS1,rv0000+1000,,"rqvZ8""O F S'OI",111,101,101,,,,,22
2,,r0000'0000,,g1000,g1000,qg1000,,,,g00,,000,,000,,600,,,qrg10'0,,,pog&0'0F,pog&0'0F,,,qe00,qe00,,,qegZZ'0 F,qegZZ'0 F,qvb00,,gS00,,qgI0+,
3,,r0000'0000,,qvZ00'0 F,0000,qg1000,,0000,,g00,,,,,,,,,+,+,,,,,,qgI00F8b,v0009000,000,,qg0,qegZZ'0 F,qvb00,,gS00,,qgI0+,
4,18h,r0000'0000,,0008,0000,,,0000,,,,,,,,2,47,,15,18,11,76,,,,qgI00F8b,v0009000,000,10,18,,,22,22,34,,
5,,v000'0+,v000'0+,000,,vIO0'0 F 9Z0'0,,vIO0'0 F 9Z0'0,vIO0'0 F 9Z0'0,,,qvI0'0+ZI'C,,ev100,qev6I'0 T,qavII'0+,qg80,qvS0'0,qevS0'O F,g000,,,qea&OO'OF 6LI'O,00001000,00001000,vL0'0FS4I,vL0'0FS4I,,,qgbS'O F 8L'6,qgbS'O F 8L'6,ppvb0'0Ft87,,3gSO'O F 6I'7,qevZE'0 F,qav&I'0 F,
6,11h,,0022,0000,0000,,,vIO0'0 F 9Z0'0,,,,qvI0'0+ZI'C,,11,,,,I8,08,,,,,qea&OO'OF 6LI'O,00001000,qvZ0'0 F8S I,n10000000,,,qsv9I'0FZ'OI,qgbS'O F 8L'6,ppvb0'0Ft87,,3gSO'O F 6I'7,,,
7,,pv000'0F,pv000'0F,eg0000,eg0000,eg0000,,,qevI0'0+,qg100+,,,,qevZ0'0+,pqavS0'0 F 9Z`8,,qegSI'0 F,,sqrv900 ,,,qevIO'0F,qevIO'0F,000,000,,qv000'0 F 8O0'0,,,qegZZ'O F,qegZZ'O F,sqv0I`0 F,sqv0I`0 F,qvZ00,sqvb0'0 +,qevbZ'0 F,qevbZ'0 F
8,12h,qg000'0FI0'0,1100,010.7,,,,0025,135,135,,110,,010,pqavS0'0 F 9Z`8,,,69',,,,,JpvbOO'O F QZI'O,860'0,g1000+600,,rv0000 # 0000,,,y8001,966,xqvS0'0 F 0b'Z,,,,,
9,,pv000'0+,pv000'0+,pa0O0'O F 8I0'O,,ppvIO0'0 + 9Z0'O,,ppvIO0'0 + 9Z0'O,ppvIO0'0 + 9Z0'O,g100,g000,pg000+,00,qev00'0+,pySZ'0,qvSI'0,,800,,,,ev&0'0 F,,ev800'0 F8ZI'0,spa9000 F 0010,ev0'0I9,ev0'0I9,,pvS8'0 F 8'OI,qv8Z'O F t'OI,,pv0I0,pv0I0,vZ0'0F,,qvZ8'0 F,
