,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,,,0000>,0000>,4000,0000,0110,0600,,,0000>,0710,,,0700,,,,,,,
1,,,SS,,1118,,,18,280,,,,0110,,,071.0,,,96'0,,,,
2,,1/AVD 8W)DdL,,0000>,0000>,,0000,4400,08/0,,0000,,1000,,,,,,,,,,
3,,1/AVD 8W)DdL,SS,,,,,,,,1113,,000,,,,,,,,,,
4,,8/8wd,,0000>,0000>,0000,0000>,,0080,,0000>,0000>,0000,,,,,,,,,,
5,,8/8wd,SS,,,355,840,,I1C,88,,,,,,608,,,696'0,,609,9,06
6,,/xoon  V,,0000>,0000>,0000,0000>,,,0900,0000,,0000,,,,,,,,,,
7,,/xoon  V,SS,,,,2772,,,145,,,,,,56,222,10,,0112,,,112
8,,1/V dL,,0000,0000>,0000,0000,,,0000,0000,0000,,,,0110,,,,,,,
9,,1/V dL,SS,110000,100000,,,114,,,,,1715,,,,,110100,,,,,410
10,,8/8wDd,,0000>,,1000,1000,0000>,0000,,0800,1100,0000,,,,,,,,,,
11,,8/8wDd,,11117,,,,,,96,,101,,1115,,,,1778,,,,,11
12,,,,0000>,0000>,0000>,0000,,1111,1010,0000,1000,1000,,,2210,,,,,,,
13,,,SS,,81,1225,,,,898,,,,,,,1.12,110,,,,277,148
14,,1/AVO 8W) DdL,,0000,0000>,,,,,,1010,,,,,0120,,,,,,,
15,,1/AVO 8W) DdL,SS,,,8909,,,,113,,,145,,,,2557,,9060,0220,,,124
16,,8/8wDd,,0000>,0000>,0990,0000>,0000,220.0,0000,0000,1100,0000,,,0710,,,,,,,
17,,8/8wDd,,2224,,,,,114,715,,,,,,114,,2005,,,,,
18,,,,,,,,,,,,,,,OT,,,o,,,,,
19,oooee,,,,,,,,,,,,1,,,,1011,,2,,%,,
