,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,,100,000,pZO'O F ZL'Z,000000,,,,3100F980,,,p&0'0 F L9'0,pZO'O F 98'O,00101,,yZ0'0 F 88'ZZ,,,,,,,,,,,q80'0F,q80'0F,00
1,,IL,,,pZO'O F ZL'Z,000000,,,,3100F980,,,p&0'0 F L9'0,pZO'O F 98'O,00101,,yZ0'0 F 88'ZZ,,,,,,,,,,,,,
2,,,,,q800,jZ0'0,000,,,,,00,000,,,,,900,,,,00,00,pS00,00,p800,000,,,
3,,,,,+1,+1,000,,,,,00,000,,,,,900,,,,00,00,pS00,00,p800,000,,,
4,,PTS,,,,,,,,,,,690,,,,,,,,,,11.2,,,,,,,
5,,,+,,,qZO'O F vS'b,,q80'O F S6'0,,,00108,00108,qZO'OF IL'O,qZO'OF IL'O,qZO'OF IL'O,,q000,p&0'0 F g,p&0'0 F g,,pIO'O F IZ'O,,,,,,,111,,
6,,TL,112,214,,qZO'O F vS'b,,q80'O F S6'0,,,00108,,,qZO'OF IL'O,,,,022,990,,pIO'O F IZ'O,,,,,,,111,,
7,,,,,,q&0'0 F,00,,pZO'O F,,y90'0F SL'8Z,,,0180,,,qZ0'0 F 96'9Z,,pZO'OFZ,100,,000,500,000,,q400,qbO'OFZL'O,,q9I'0 F Z8E8,100
8,,,,,,q&0'0 F,,+1,pZO'O F,,y90'0F SL'8Z,,,0180,,,qZ0'0 F 96'9Z,,pZO'OFZ,100,,+1,+1,000,,q400,qbO'OFZL'O,,q9I'0 F Z8E8,11112
9,:,PTS,,,,109,294,044,10,,y90'0F SL'8Z,,,0180,,,qZ0'0 F 96'9Z,,,072,,,,,,222,qbO'OFZL'O,,q9I'0 F Z8E8,11112
10,,,+,+I,qI0'0+,p&O'O F Z6'Z,,,,,,Z0'0F,Z0'0F,000,pZO'0F 98'OI,,,00,,,pZO'O F 6I'O,,,,,,q00,q00,,q400
11,,TL,,,,p&O'O F Z6'Z,,,,,,,062,095,pZO'0F 98'OI,,,00,,,pZO'O F 6I'O,,,,,,,,,345
12,brrre,,,,qZ0'O F,,jZO'O F 68'OI,s0Z'0F 09*0,100,,ot0'0 F L8'97,p000,00,,80088,80088,q800889,100,00,000,,,p000,+,000,+,p00,p8IOFt,p8IOFt,p100++8
13,brrre,PPIS,,,86,272,jZO'O F 68'OI,s0Z'0F 09*0,102,,ot0'0 F L8'97,,990,,qZ'O F IO'ZI,80088,,,,,,,,2,2,,,,,p100++8
14,,TL,,,,100880,,,10,,,,,,pZO'O F 8S'bI,,,q40'0ItI,,,,,,,,,pbO'O F I9'v9,pSO'O F 9L'I8,pSO'O F 9L'I8,
15,,,,,,00,qZ0'O,,q000,,,,,,,10000,,,,,10011,,,000,qZO'O F SL'O,000,,,,900
16,,,,,,00,+1,,q000,,,,,,,10000,,,,,10011,,,000,qZO'O F SL'O,000,,,,+
17,,,,,,,,05.2,122,,,,,,,10000,,,,,10011,,,,qZO'O F SL'O,145,,,,1111
18,,,00,p&0'0F,qS0'0,,,,,,,,,,,,jE0'O F 88'bZ,200,qZ0'0F,,,,,,,,,00,00,
19,,IL,,,207,,,,,,,,,,,,jE0'O F 88'bZ,,180,,,,,,,,,,,
20,,,,,100,,g8001,,pb0'0F90I,p&00Z0I,,,pIZ'OF Z8'O,,,,pZO'O F Z9'9Z,00,00,000,qbI'O,,000,500,pZ00Fg,,,,,
21,,,,,100,,g8001,,pb0'0F90I,,,,,,,,pZO'O F Z9'9Z,00,00,+1,+1,+,+I,+1,pZ00Fg,,,,,
22,,PIS,,,69'0,,684,,pb0'0F90I,p&00Z0I,,,pIZ'OF Z8'O,,,,pZO'O F Z9'9Z,,,2,,,,,,117,,,,1110
23,,,,,0:01,110,,1115,,,o,,,171,,1111,-1:811,2-08:81D,2220,,,,333,333,115,0220,6-m 0:47:,6-m 0:47:,MUA,
24,,,0:9,0:8,0:01,110,,1115,,5,o,,,171,0:817,1111,-1:811,2-08:81D,2220,,,,,,115,0220,0220,VA,MUA,
