,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,,,,,,,,,,,,,,,,,,,,,111114,
1,,,,,1180,,,,,,1120,,,1220,,090,,1120,,1000,,1440,
2,,,,,,,,,,,,,,,,,0'86,,,,,,986
3,,,I0,I'I,,,,,,8'0,0.4,60,,0.3,II,,,,+1,,+1,,
4,,,I0,+,+,+1,+,+,+,+,+,+,,+,II,,+,+,+1,+,+1,,
5,,,,,,,,,,,103,,,,,111,,,,,,,
6,su.0,,113,113,1,,,,,2,,,,,2,,,,,1,31,31,
7,,,,,1180,,1111,,,,1220,,,1120,,090,,1220,,,,1440,
8,,,,8'86,,,,,,,,,,,8,,,,,,,,
9,,%S,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,+1,01,0.2,60,0.4,60,,,,,,90,,,80,,
11,,,,,,+1,+1,01,+1,+1,+,+1,,+1,,,,90,,,80,,
12,,,25,272,45.0,,230,270,310,217,115,3.02,,111,,115,,127,384,25.0,,,
13,,,113,113,,,,,,,12,12,,,2,,,,,121,121,121,
14,,,,,,,,,21/0,,1112,,,,,2110,,2110,,2110,,,
