,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,,,,,,,,,,,,,,98,,V-R,vV,Y-R,,,,
1,,,,,,,,0110,89990,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,8166'0,10000
3,,,,,,1111,,,,11110,,,,,10/10,,,,,,10000,
4,,,,,,,,,,,,,01115,,02005,,,,,10000,,
5,,11000,,,,,,,,,,,,,07111,,,,1000,,,
6,,0908'0,6808'0,,,,,68980,,,,96080,,,08880,,,10000,,,,
7,VV,,,,,,,,00000,,,,,,,6696'0,10000,,,,,
8,,,00960,,,,,,,,,9688'0,88860,99660,,1000,,,,,,
9,BC,0898'0,,,,,,,,,06060,10000,,,10000,,,,,,,
10,,,,,,,,,,7777'1,,,,10000,,,,,,,,
11,,,,,,,,,,,,,10000,,,,,,,,,
12,,,,,,,,,,,,10000,,,,,,,,,,
13,Mn,,,68080,,,,,,,10000,,,,,,,,,,,
14,,,,,,,0101,,01771,10000,,,,,,,,,,,,
15,uZ,,,,,,,,10000,,,,,,,,,,,,,
16,Cu,,,,9960,,,10000,,,,,,,,,,,,,,
17,,,,,,,10000,,,,,,,,,,,,,,,
18,,,,,,10000,,,,,,,,,,,,,,,,
19,,,,,1000,,,,,,,,,,,,,,,,,
20,y,,,10000,,,,,,,,,,,,,,,,,,
21,,869800000,10000,,,,,,,,,,,,,,,,,,,
