,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,,,,,mVolts,mVolts,,,,,,,,mAU,,,,,,,mAU,
1,,,20.0,0.00,,,Fluorescence,+PB1,,Fig.3.,,,c-Caftaric acid,,GRP,8,Fig.,,,7,Quercetin-3-rutinoside,Gomez-Alonso et al.
2,,,,0.00,0,,,,,,,0,,,,8,,,,,,
3,,,,,,PB1,Fluorescence,+PB1,280 nm,Fig.3.,,,c-Caftaric acid,,,,,,,,,
4,,,,,,,,,, Chromatogram of a Cencibel wine monitored at 320 nm.,Minutes,,,,,, Chromatogram of a Cencibel wine monitored at 360 nm.,Minutes,,,,/ Journal of Food Composition and Analysis 20 (2007) 618626
5,,,,,,,,,,,,,,K t-Caftaric acid,K t-Caftaric acid,,,,,,Quercetin-3-glucuronide,
6,,,,,,,,,,,,,,,,,,,,,Kaempferol-3-rutinoside,
7,,,22.5,,,,-PB3,+PB3,,,,,,,,,,,,,Kaempferol-3-glucoside,
8,,,22.5,,,,,,,,,,c-Coutaric acid,c-Coutaric acid,,,,,,,-Isorhamnetin-3-glucoside,
9,JIV,,,,,,,+-Catechin,Delphinidin-3-G,,Minutes,,,,Caffeic acid,Caffeic acid,,Minutes,50,,-Myricetin,
10,,Min,,,,,,,,,Minutes,,c-Fertaric acid,,K t-Coutaric acid,K t-Coutaric acid,,Minutes,,,,
11,,,25.0,,,,,,, Chromatogram of a Cencibel wine monitored at 320 nm.,,,>t-Fertaric acid,,,,,,,,,
12,,,,,,,,-PB2,,,,,,,,,,,,,,
13,,,,,PB2,,,,Cyanidin-3-G,,,,,,,,,,,,,
14,,,,,PB2,,,,,,,,,,,,,,,,Quercetin,
15,,,,,,,,,,,,,,,Coumaric acid,Coumaric acid,,,,,,
16,,,27.5,,,,,,, Chromatogram of a Cencibel wine monitored at 320 nm.,,,,,,,,,,,,
17,f,,,,,--)-Epicatechin,--)-Epicatechin,-)-Epicatechin,-)-Epicatechin,,,,,,,,,,,,-Kaempferol,
18,,,,,,,,,,,,,>Ferulic acid,,,,,,,,Isorhamnetin,
19,,,,,,,,,,,,,t-Resveratrol glucoside,t-Resveratrol glucoside,,,,,,,,
