,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,,,Soybean oil,Soybean oil,,,Olive oil,,,,Palm oil,,,,,Sunflower oil,Sunflower oil,,,Almond oil,Almond oil,,,Mustard seed oil,Mustard seed oil,,
1,,*,A,B,c,D,A,B,c,D,A,,B,c,D,A,B,C,D,A,B,c,D,A,B,c,D
2,Nap,,0.12,0.12,0.34,0.12,0.33,0.03,16.8,0.49,0.12,0.03,,0.03,0.33,3.33,0.18,0.17,0.19,0.12,0.12,0.12,0.23,0.03,0.40,0.12,0.53
3,Acy,,0.10,0.33,0.34,0.45,0.33,0.10,16.8,0.49,0.34,0.49,,0.43,0.33,1.98,0.42,0.66,0.38,0.42,0.36,0.10,0.47,8.66,0.40,0.10,0.53
4,Ace,,0.31,0.35,0.33,0.31,0.31,0.10,6.25,0.33,0.10,0.10,,0.10,0.31,1.79,0.34,1.95,0.31,0.31,0.31,0.10,0.33,4.17,0.42,0.10,0.43
5,Flu,,0.07,0.07,0.26,0.22,0.07,0.07,14.6,0.28,0.07,0.22,,0.22,0.22,2.55,0.22,1.71,0.24,0.25,1.92,0.07,0.47,5.38,0.42,0.30,0.33
6,Phe,,0.19,0.22,0.19,0.18,0.03,0.03,2.99,0.40,0.03,0.19,,0.03,0.03,5.56,0.23,1.12,0.23,0.18,0.03,0.03,0.25,1.44,0.41,0.03,0.33
7,Ant,,0.18,0.23,0.18,0.17,0.07,0.33,16.9,0.22,0.07,0.17,,0.07,0.07,1.52,0.16,1.69,0.16,0.16,0.07,0.07,0.16,2.45,0.23,0.07,0.42
8,Flt,Flt,0.68,0.73,1.45,0.37,0.80,0.33,300,1.50,1500,1740,,2100,1960,3.03,0.27,0.55,1.54,0.72,0.72,0.51,1.25,1.30,1.13,0.17,1.24
9,Pyr,,0.67,0.88,2.50,0.59,3.19,0.72,1.60,0.70,584,2270,,1970,499,2.65,0.69,3.13,1.10,1.30,0.68,0.63,0.98,6.14,2.20,1.13,0.96
