,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,,,,,,,,,,90-,,I1',,,-66,,+1,,,,90-N,
1,,,,,,,,,,t0,02,,a'N,,,-66,,5,,,,90-N,
2,,,0000000,IOO-N,,,100,200-,,000100,100-,'G'N,,,100100,t00-,,200,So0-,,1000+1000,000,
3,,,0000000,IOO-N,,,100,'N,,000100,O'N,,,,100100,N,,200,O'N,,1000+1000,GN,
4,,,0+920,,,,,8h0-,,,,500++00,,,,,,,-hO0,,0000+00,100-,
5,,,0+920,,,,,aN,,01'0,'N,500++00,a'N,,022,00.0,,,-hO0,,0000+00,'N,
6,,,200+100,600-N,,,h0000,tT0-aN,,100,Lo0-'N,00000,Io-aN,,,10-,,,950-,,200900,600-,
7,,,200+100,600-N,,,h0000,tT0-aN,,100,Lo0-'N,00000,Io-aN,,,200,,,100,,200900,000,
8,TN,,0000000,900-100,,,,,,200,100-,200,800-,,90,,,60,020,,100,900,
9,TN,,0000000,900-100,,,+1,,,+/,100-,200,800-,,90,,,,,,100,900,
10,,,0000000,900-100,,,600,100,,So*0,002,,000,,110,200,,,So0,,t00,000,
11,,,,,,,,,,,17,80,17,,,,,,1'6,,207,1'1,
12,,,,,,,+1,1,,+,-t0,80,,,,12,,+1,-,,207,,
13,,,,,,,,I'1,,80,-t0,13,60,,,12,,12,6h,,07,,
14,3,,,,,,80,38,,,,,,,,,,900,0,,,290-,
15,3,,,,,,+1,-,,+1,:,,:,,,,,900,0,,,290-,
16,,,,,,,,,,680,,,,,,610,,,,,,,
17,,,,,,,I'T,,,,,,,,0.1,3.5,,+1,,,,-,
18,,,,,,,+1,10,,,1'1,,,,2.4,2.0,,E'h,-,,12,60,
19,Pe,,,,,,,-,,+1,,,-,,,,,L*nFr'T1,,,,8'h,
20,,,,,,,,22,,,12,42,,,,,,L*nFr'T1,,,,,
21,,,,,ST=U,,aS,,ST=u,,,,,01=u),,,8T=u),,,9=u,,,SI=u
22,aom,0,,,,1,,,,,,,,,,,,,,,,,
